market_ticker,series,family,class,timestamp,track,arm,prior_outcome,streak_direction,streak_length,strike,spot,z_dir,model_prob_yes,market_yes_bid,market_yes_ask,exec_price,edge,fee,slippage,side,size,kelly_units,resolution,gross_pnl,net_pnl,split
KXMLBTOTAL-26AUG131605CHCWSH-7,KXMLBTOTAL,KXMLBTOTAL|7,BASEBALL_TOTAL,2026-08-13T21:24:25Z,A,A0,yes,yes,1,6.5,,,0.670567,81,89,19,10.9433,2,1,no,1,2,yes,-19,-22,holdout
KXMLBTOTAL-26AUG131605CHCWSH-10,KXMLBTOTAL,KXMLBTOTAL|10,BASEBALL_TOTAL,2026-08-13T21:34:27Z,A,A0,no,no,2,9.5,,,0.392086,52,58,48,9.7914,2,1,no,1,3,no,52,49,holdout
KXMLBTOTAL-26AUG131605CHCWSH-8,KXMLBTOTAL,KXMLBTOTAL|8,BASEBALL_TOTAL,2026-08-13T21:34:27Z,A,A0,no,no,3,7.5,,,0.551732,79,84,21,20.8268,2,1,no,1,3,no,79,76,holdout
KXMLBTOTAL-26AUG131605CHCWSH-11,KXMLBTOTAL,KXMLBTOTAL|11,BASEBALL_TOTAL,2026-08-13T21:34:28Z,A,A0,no,no,2,10.5,,,0.321956,39,44,61,3.8044,2,1,no,1,2,no,39,36,holdout
KXMLBTOTAL-26AUG131930PHIMIN-5,KXMLBTOTAL,KXMLBTOTAL|5,BASEBALL_TOTAL,2026-08-13T23:59:40Z,A,A0,yes,yes,2,4.5,,,0.840914,95,98,5,8.9086,1,1,no,1,1,yes,-5,-7,holdout
KXMLBTOTAL-26AUG131930PHIMIN-6,KXMLBTOTAL,KXMLBTOTAL|6,BASEBALL_TOTAL,2026-08-13T23:59:40Z,A,A0,yes,yes,2,5.5,,,0.739294,88,91,12,12.0706,1,1,no,1,1,yes,-12,-14,holdout
KXMLBTOTAL-26AUG131930PHIMIN-7,KXMLBTOTAL,KXMLBTOTAL|7,BASEBALL_TOTAL,2026-08-14T00:59:45Z,A,A0,yes,yes,2,6.5,,,0.670567,96,98,4,26.9433,1,1,no,1,3,yes,-4,-6,holdout
KXMLBTOTAL-26AUG131930PHIMIN-8,KXMLBTOTAL,KXMLBTOTAL|8,BASEBALL_TOTAL,2026-08-14T00:59:46Z,A,A0,no,no,4,7.5,,,0.551732,89,91,11,31.8268,1,1,no,1,4,yes,-11,-13,holdout
KXMLBTOTAL-26AUG131930PHIMIN-13,KXMLBTOTAL,KXMLBTOTAL|13,BASEBALL_TOTAL,2026-08-14T01:29:37Z,A,A0,no,no,3,12.5,,,0.253122,15,16,16,7.3122,1,1,yes,1,1,no,-16,-18,holdout
KXMLBTOTAL-26AUG131930PHIMIN-9,KXMLBTOTAL,KXMLBTOTAL|9,BASEBALL_TOTAL,2026-08-14T01:29:37Z,A,A0,no,no,3,8.5,,,0.469713,55,56,45,5.0287,2,1,no,1,1,no,55,52,holdout
