# ops request: type='db'
item                           a      b        c   latest                          
-----------------------------  -----  -------  --  --------------------------------
book:legacy_ta                 0      0.00     0   2026-06-08 14:00:29.594727+00:00
book:mmsell                    445    5.85     27  2026-07-05 02:50:02.236126+00:00
book:theta                     91     -9.74    2   2026-07-05 03:06:45.235120+00:00
book:theta1                    6      -0.09    0   2026-07-05 01:49:49.651177+00:00
book:theta2                    2      -3.79    0   2026-07-05 01:49:49.656737+00:00
book:theta3                    30     -5.04    0   2026-07-05 02:46:03.796233+00:00
book:weather_con(all)          228    10.82    14  2026-07-04 22:00:13.794798+00:00
book:weather_other(all)        4659   -235.77  50  2026-07-04 22:00:14.047043+00:00
data:crypto_ladder_snapshots   61200  61200    0   2026-07-05 03:06:45.661797+00:00
data:crypto_spot_candles       2870   2        0   2026-07-05 03:06:00+00:00       
data:weather_bucket_snapshots  13500  0        0   2026-07-05 03:09:15.266081+00:00
data:weather_ensembles         1696   0        0   2026-07-05 03:10:34.520825+00:00
data:weather_forecasts         11353  0        0   2026-07-05 03:10:34.030531+00:00
data:weather_observations      651    0        0   2026-07-05 03:10:32.576410+00:00

(14 rows)
