# ops request: type='db'
metric                                   val 
---------------------------------------  ----
strategies_total                         115 
strategy_status:active                   14  
strategy_status:inactive                 81  
strategy_status:validated                20  
agent_backtest_dataset:backfill_weather  447 
agent_backtest_dataset:crypto            885 
agent_backtest_dataset:econ              681 
agent_backtest_dataset:mmsell            288 
sandbox_kind:backtest                    2301
sandbox_kind:data_read                   4571
sandbox_kind:market_scan                 1438
sandbox_kind:walkforward                 456 
orders_status:canceled                   673 
orders_status:expired                    361 
orders_status:filled                     3103
orders_status:rejected                   21  
fills_total                              6285
positions_status:closed                  1692
positions_status:liquidated              61  
positions_status:open                    227 
positions_status:settled                 2161
positions_status:transferred             93  

(22 rows)
