# ops request: type='db'
metric                                   val 
---------------------------------------  ----
strategies_total                         120 
strategy_status:active                   20  
strategy_status:inactive                 83  
strategy_status:validated                17  
agent_backtest_dataset:backfill_weather  458 
agent_backtest_dataset:crypto            952 
agent_backtest_dataset:econ              736 
agent_backtest_dataset:mmsell            288 
sandbox_kind:backtest                    2434
sandbox_kind:data_read                   4732
sandbox_kind:market_scan                 1452
sandbox_kind:walkforward                 486 
orders_status:canceled                   732 
orders_status:expired                    361 
orders_status:filled                     3192
orders_status:open                       60  
orders_status:partial                    3   
orders_status:rejected                   21  
fills_total                              6497
positions_status:closed                  1694
positions_status:liquidated              61  
positions_status:open                    405 
positions_status:settled                 2161
positions_status:transferred             93  

(24 rows)
