# ops request: type='db'
metric                                   val 
---------------------------------------  ----
strategies_total                         111 
strategy_status:active                   15  
strategy_status:inactive                 79  
strategy_status:validated                17  
agent_backtest_dataset:backfill_weather  445 
agent_backtest_dataset:crypto            851 
agent_backtest_dataset:econ              667 
agent_backtest_dataset:mmsell            286 
sandbox_kind:backtest                    2249
sandbox_kind:data_read                   4460
sandbox_kind:market_scan                 1425
sandbox_kind:walkforward                 454 
orders_status:canceled                   666 
orders_status:expired                    356 
orders_status:filled                     3102
orders_status:open                       4   
orders_status:rejected                   21  
fills_total                              6283
positions_status:closed                  1692
positions_status:liquidated              60  
positions_status:open                    237 
positions_status:settled                 2153
positions_status:transferred             88  

(23 rows)
