# ops request: type='db'
metric                                   val 
---------------------------------------  ----
strategies_total                         124 
strategy_status:active                   18  
strategy_status:inactive                 87  
strategy_status:validated                19  
agent_backtest_dataset:backfill_weather  463 
agent_backtest_dataset:crypto            970 
agent_backtest_dataset:econ              753 
agent_backtest_dataset:mmsell            289 
sandbox_kind:backtest                    2475
sandbox_kind:data_read                   4828
sandbox_kind:market_scan                 1465
sandbox_kind:walkforward                 500 
orders_status:canceled                   749 
orders_status:expired                    368 
orders_status:filled                     3307
orders_status:open                       31  
orders_status:partial                    3   
orders_status:rejected                   21  
fills_total                              6690
positions_status:closed                  1728
positions_status:liquidated              61  
positions_status:open                    413 
positions_status:settled                 2317
positions_status:transferred             93  

(24 rows)
