# ops request [READ]
# type=script  id=audit-backlog-1
# code b625f4ddddaa7d8e0b5f114f8da6b5aa7c20771d · started 2026-09-06T15:00:56Z
# SERIES REGISTRY REVIEW
# window: all time | manifest rows: 138 (graduated=138) | observed series: 0
# A REPORT, NOT A GATE: nothing here graduates, bars or promotes anything.

## BACKLOG — graduated, settlement rules never reviewed (138; 137 traded by a live book)
  series                   live   settled     pnl($)  books
  KXNFLSPREAD              LIVE      1486    -151.26     23
  KXMLBSPREAD              LIVE      5103     125.65     32
  KXRAIN                   LIVE      1083      65.83     25
  KXWTI                    LIVE       756     -61.92     28
  KXTRUMPSAY               LIVE       916      61.33     28
  KXALBUMEQUIV             LIVE       257     -55.06     24
  KXNFLTOTAL               LIVE       899      49.16     20
  KXITFMATCH               LIVE      1725      47.31     22
  KXMLBHR                  LIVE      9246      44.80     30
  KXBTCD                   LIVE      3366     -38.57     37
  KXWCMENTION              LIVE       758      37.47      7
  KXINXU                   LIVE       447      33.58     26
  KXWNBASPREAD             LIVE      1465      33.16     29
  KXWTAMATCH               LIVE       798      27.56     19
  KXNATGASD                LIVE       332      24.75     24
  KXWCSOA                  LIVE       510      24.38      7
  KXMLBGAME                LIVE      1442      24.21     21
  KXWCGOAL                 LIVE      1014      23.69      7
  KXNASDAQ100U             LIVE       285      23.39     25
  KXETHD                   LIVE       573     -22.90     35
  KXBTC                    LIVE      1730      21.91     31
  KXMLBTOTAL               LIVE      5428      20.76     27
  KXWNBAGAME               LIVE       283      19.91     20
  KXYTVIEWSW               LIVE       170      19.56     20
  KXMLBKS                  LIVE       980      18.43     23
  KXCLUBFGAME              LIVE       330     -17.38     18
  KXCS2GAME                LIVE       218     -16.68     18
  KXLEAGUESCUPSPREAD       LIVE       317     -16.25     25
  KXATPEXACTMATCH          LIVE       222      15.67     21
  KXWCAST                  LIVE       138      15.14      7
  KXMLSTOTAL               LIVE       308      14.69     14
  KXNPBGAME                LIVE       166      14.34     21
  KXTRUTHSOCIAL            LIVE       158     -14.34     24
  KXUFCMOV                 LIVE       442      14.02     20
  KXLEAGUESCUPTOTAL        LIVE       393      13.30     24
  KXWCTOTAL                LIVE       184     -13.16      9
  KXFEDMENTION             LIVE       159      13.11      9
  KXBRENTW                 LIVE       153      13.07     27
  KXWNBAPTS                LIVE       133      12.12     13
  KXWCSCORE                LIVE       528      11.45      7
  KXMLBASGHR               LIVE       104      11.39      4
  KXWCTEAMTOTAL            LIVE       220     -11.01      9
  KXTESTMATCH              LIVE       115     -10.92     19
  KXLIGAMXTOTAL            LIVE       189      10.75     13
  KXATPMATCH               LIVE       940     -10.35     20
  KXATPSETWINNER           LIVE       163      10.16     22
  KXARGPREMDIVTOTAL        LIVE       166      10.05     21
  KXMLBHRR                 LIVE       264      -9.58     23
  KXMLSGAME                LIVE       275       9.43     16
  KXRT                     LIVE       427      -9.23     25
  KXWNBATOTAL              LIVE       849       8.92     24
  KXMLBTB                  LIVE       115      -8.82     21
  KXLIGAMXSCORE            LIVE       171       8.13      5
  KXCOPPERD                LIVE       113       8.04     21
  KXWCCORNERS              LIVE        61      -7.95      5
  KXLEAGUESCUPGAME         LIVE       233      -7.26     19
  KXWCFIRSTGOAL            LIVE       108       7.24      7
  KXYTVIEWSHIGH            LIVE        62      -7.24      8
  KXMLSSPREAD              LIVE       102       6.94      7
  KXLOLGAME                LIVE       338      -6.87     20
  ... 78 more (raise --top)
  -> These trade live TODAY. The row is the debt, not a bar: retire it by reading
     the series' settlement rules and setting rules_reviewed_at in the manifest.
