# ops request [READ]
# type=script  id=audit-backlog-3
# code 5b49a66d9e354722f45d65d69becccee267820bc · started 2026-09-06T17:59:58Z
# SERIES REGISTRY REVIEW
# window: all time | manifest rows: 138 (graduated=138) | observed series: 0
# live exposure measured over the last 30 days of live_orders.
# A REPORT, NOT A GATE: nothing here graduates, bars or promotes anything.

## BACKLOG — graduated, settlement rules never reviewed (138; 110 traded by a live book)
  series                   live   orders  settled     pnl($)  books
  KXNFLSPREAD              LIVE      131     1486    -151.26     23
  KXMLBSPREAD              LIVE      139     5103     125.65     32
  KXRAIN                   LIVE       60     1083      65.83     25
  KXWTI                    LIVE       35      756     -61.92     28
  KXTRUMPSAY               LIVE       29      916      61.33     28
  KXALBUMEQUIV             LIVE       26      257     -55.06     24
  KXNFLTOTAL               LIVE       34      899      49.16     20
  KXITFMATCH               LIVE       51     1737      47.22     22
  KXMLBHR                  LIVE      535     9246      44.80     30
  KXBTCD                   LIVE      102     3366     -38.57     37
  KXINXU                   LIVE       31      447      33.58     26
  KXWNBASPREAD             LIVE       35     1465      33.16     29
  KXWTAMATCH               LIVE       15      799      27.73     19
  KXNATGASD                LIVE       31      332      24.75     24
  KXMLBGAME                LIVE       24     1442      24.21     21
  KXNASDAQ100U             LIVE       19      285      23.39     25
  KXETHD                   LIVE       37      573     -22.90     35
  KXBTC                    LIVE       65     1730      21.91     31
  KXMLBTOTAL               LIVE      133     5428      20.76     27
  KXTRUTHSOCIAL            LIVE        6      208     -20.57     28
  KXWNBAGAME               LIVE        9      283      19.91     20
  KXYTVIEWSW               LIVE       10      170      19.56     20
  KXMLBKS                  LIVE       50      980      18.43     23
  KXCLUBFGAME              LIVE       23      330     -17.38     18
  KXCS2GAME                LIVE        9      218     -16.68     18
  KXLEAGUESCUPSPREAD       LIVE       15      317     -16.25     25
  KXATPEXACTMATCH          LIVE        3      222      15.67     21
  KXMLSTOTAL               LIVE        2      308      14.69     14
  KXNPBGAME                LIVE       10      166      14.34     21
  KXUFCMOV                 LIVE       11      442      14.02     20
  KXLEAGUESCUPTOTAL        LIVE       23      393      13.30     24
  KXBRENTW                 LIVE       12      153      13.07     27
  KXTESTMATCH              LIVE        5      115     -10.92     19
  KXLIGAMXTOTAL            LIVE        4      189      10.75     13
  KXATPMATCH               LIVE       11      940     -10.35     20
  KXATPSETWINNER           LIVE        1      163      10.16     22
  KXARGPREMDIVTOTAL        LIVE        6      166      10.05     21
  KXMLBHRR                 LIVE        3      264      -9.58     23
  KXMLSGAME                LIVE        4      275       9.43     16
  KXRT                     LIVE       29      427      -9.23     25
  ... 98 more (raise --top)
  -> These trade live TODAY. The row is the debt, not a bar: retire it by reading
     the series' settlement rules and setting rules_reviewed_at in the manifest.
