# ops request [READ]
# type=db  id=audit-kxue-1
# code 5b49a66d9e354722f45d65d69becccee267820bc · started 2026-09-06T18:14:00Z
series          trades  books  first       last      
--------------  ------  -----  ----------  ----------
KXUECLTOTAL     133     22     2026-08-11  2026-08-20
KXUEFASCSCORE   89      18     2026-08-11  2026-08-12
KXUECLGAME      51      18     2026-08-11  2026-08-20
KXUELTOTAL      39      13     2026-08-11  2026-08-20
KXUELGAME       32      10     2026-08-13  2026-08-20
KXUEFASCSPREAD  14      8      2026-08-12  2026-08-12
KXUE            13      11     2026-08-09  2026-08-14
KXUEFASCTOTAL   11      10     2026-08-12  2026-08-12
KXUEFASCGAME    2       1      2026-08-12  2026-08-12
KXUECL1HTOTAL   1       1      2026-08-13  2026-08-13

(10 rows)
