# ops request [READ]
# type=script  id=audit-rules-2
# code 5b49a66d9e354722f45d65d69becccee267820bc · started 2026-09-06T18:00:39Z
# SERIES RULES AUDIT
# audited 20 graduated series | CONFIRMS=14 CONTRADICTS=0 INSUFFICIENT=6
# NOT A GATE. Emits evidence; a human's PR against the manifest records the review.
# Only CONFIRMS may be written as rules_reviewed_at — see --emit-patch.

## CONTRADICTS (0) — the recorded settlement mode is WRONG — read these first
  (none)

## INSUFFICIENT (6) — evidence does not decide; the row stays unreviewed
  series                   recorded   implied    docs  mkts  why
  KXAAAGASD                scheduled  -             8     8  8 rule doc(s) name no settlement mode
  KXAAAGASW                scheduled  -             8     8  8 rule doc(s) name no settlement mode
  KXALBUMEQUIV             discrete   -             8     8  8 rule doc(s) name no settlement mode
  KXBTC                    scheduled  -             8     8  8 rule doc(s) name no settlement mode
  KXBTCD                   scheduled  -             8     8  8 rule doc(s) name no settlement mode
  KXCHAMPTOUR              in_play    -             8     8  8 rule doc(s) name no settlement mode

## CONFIRMS (14) — evidence agrees with the taxonomy; the review is discharged
  series                   recorded   implied    docs  mkts  why
  KXALLSVENSKANGAME        in_play    in_play       8     8  rules text agree with the recorded in_play
  KXALLSVENSKANTOTAL       in_play    in_play       8     8  rules text agree with the recorded in_play
  KXAPFDDHTOTAL            in_play    in_play       8     8  rules text agree with the recorded in_play
  KXARGPREMDIVGAME         in_play    in_play       8     8  rules text agree with the recorded in_play
  KXARGPREMDIVTOTAL        in_play    in_play       8     8  rules text agree with the recorded in_play
  KXATPCHALLENGERMATCH     in_play    in_play       8     8  rules text agree with the recorded in_play
  KXATPEXACTMATCH          in_play    in_play       8     8  rules text agree with the recorded in_play
  KXATPGSPREAD             in_play    in_play       8     8  rules text agree with the recorded in_play
  KXATPMATCH               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXATPSETWINNER           in_play    in_play       8     8  rules text agree with the recorded in_play
  KXBRASILEIROGAME         in_play    in_play       8     8  rules text agree with the recorded in_play
  KXBRASILEIROTOTAL        in_play    in_play       8     8  rules text agree with the recorded in_play
  KXBRENTD                 scheduled  scheduled     8     8  rules text agree with the recorded scheduled
  KXBRENTW                 scheduled  scheduled     8     8  rules text agree with the recorded scheduled
