# ops request [READ]
# type=script  id=audit-rules-full
# code 5b49a66d9e354722f45d65d69becccee267820bc · started 2026-09-06T18:01:42Z
# SERIES RULES AUDIT
# audited 138 graduated series | CONFIRMS=118 CONTRADICTS=4 INSUFFICIENT=16
# NOT A GATE. Emits evidence; a human's PR against the manifest records the review.
# Only CONFIRMS may be written as rules_reviewed_at — see --emit-patch.

## CONTRADICTS (4) — the recorded settlement mode is WRONG — read these first
  series                   recorded   implied    docs  mkts  why
  KXUECLTOTAL              scheduled  in_play       8     8  recorded as scheduled, but Kalshi's rules text says in_play
  KXWCMENTION              discrete   in_play       8     8  recorded as discrete, but Kalshi's rules text says in_play
  KXYTVIEWSHIGH            discrete   in_play       8     8  recorded as discrete, but Kalshi's rules text says in_play
  KXYTVIEWSW               discrete   in_play       8     8  recorded as discrete, but Kalshi's rules text says in_play

## INSUFFICIENT (16) — evidence does not decide; the row stays unreviewed
  series                   recorded   implied    docs  mkts  why
  KXAAAGASD                scheduled  -             8     8  8 rule doc(s) name no settlement mode
  KXAAAGASW                scheduled  -             8     8  8 rule doc(s) name no settlement mode
  KXALBUMEQUIV             discrete   -             8     8  8 rule doc(s) name no settlement mode
  KXBTC                    scheduled  -             8     8  8 rule doc(s) name no settlement mode
  KXBTCD                   scheduled  -             8     8  8 rule doc(s) name no settlement mode
  KXCHAMPTOUR              in_play    -             8     8  8 rule doc(s) name no settlement mode
  KXDPWORLDTOUR            in_play    -             8     8  8 rule doc(s) name no settlement mode
  KXETHD                   scheduled  -             8     8  8 rule doc(s) name no settlement mode
  KXFEDMENTION             discrete   -             8     8  8 rule doc(s) name no settlement mode
  KXMLBASGHR               in_play    -             8     8  8 rule doc(s) name no settlement mode
  KXRAIN                   scheduled  -             8     8  8 rule doc(s) name no settlement mode
  KXRT                     scheduled  -             8     8  8 rule doc(s) name no settlement mode
  KXTRUMPSAY               discrete   -             8     8  8 rule doc(s) name no settlement mode
  KXTRUTHSOCIAL            discrete   -             8     8  8 rule doc(s) name no settlement mode
  KXWTI                    scheduled  -             8     8  8 rule doc(s) name no settlement mode
  KXWTIW                   scheduled  -             8     8  8 rule doc(s) name no settlement mode

## CONFIRMS (118) — evidence agrees with the taxonomy; the review is discharged
  series                   recorded   implied    docs  mkts  why
  KXALLSVENSKANGAME        in_play    in_play       8     8  rules text agree with the recorded in_play
  KXALLSVENSKANTOTAL       in_play    in_play       8     8  rules text agree with the recorded in_play
  KXAPFDDHTOTAL            in_play    in_play       8     8  rules text agree with the recorded in_play
  KXARGPREMDIVGAME         in_play    in_play       8     8  rules text agree with the recorded in_play
  KXARGPREMDIVTOTAL        in_play    in_play       8     8  rules text agree with the recorded in_play
  KXATPCHALLENGERMATCH     in_play    in_play       8     8  rules text agree with the recorded in_play
  KXATPEXACTMATCH          in_play    in_play       8     8  rules text agree with the recorded in_play
  KXATPGSPREAD             in_play    in_play       8     8  rules text agree with the recorded in_play
  KXATPMATCH               in_play    in_play       8     8  rules text agree with the recorded in_play
