# ops request [READ]
# type=db  id=b1-correl-2
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-08T12:52:54Z
row                                                      
---------------------------------------------------------
KXALBUMEQUIV|11|8|4.27|10|-59.99|0.00|1.18|2|2|11        
KXINXU|17|19|6.00|15|0.00|0.00|2.24|4|11|17              
KXITFMATCH|654|2|1.24|154|-55.81|-69.30|1.00|1|0|654     
KXMLBHR|317|21|6.63|311|-341.98|0.00|5.37|13|316|317     
KXMLBSPREAD|373|11|4.15|348|-255.32|-1.75|5.02|13|372|373
KXNFLSPREAD|44|21|8.66|44|-210.49|0.00|3.64|8|44|44      
KXNFLTOTAL|43|13|7.00|43|-22.37|0.00|3.67|8|43|43        
KXRAIN|225|1|1.00|0|0.00|-18.54|5.93|16|27|28            
KXTRUMPSAY|119|1|1.00|0|0.00|-16.91|7.50|16|9|10         
KXWTI|18|18|8.39|17|-95.81|-0.64|1.22|2|4|18             

(10 rows)
