# ops request [READ]
# type=db  id=b1-splitkey-1
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-08T11:52:07Z
row                                                                     
------------------------------------------------------------------------
KXALBUMEQUIV|311|47|12.8|-16.442|-51.13|28.30|7.366|76.773|11|4|11|4    
KXINXU|447|102|12.3|7.512|33.58|0.22|7.740|94.000|17|0|17|0             
KXITFMATCH|1824|808|17.9|2.333|42.55|10.80|11.869|76.423|654|136|654|136
KXMLBHR|9807|2103|7.8|0.558|54.68|6.81|7.266|91.218|317|69|317|69       
KXMLBSPREAD|5448|1547|12.5|2.388|130.10|8.83|10.599|82.405|373|83|373|83
KXNFLSPREAD|1486|381|9.4|-10.179|-151.26|18.44|8.041|90.771|44|20|44|20 
KXNFLTOTAL|899|301|13.6|5.468|49.16|4.67|9.671|80.295|43|7|43|7         
KXRAIN|1116|222|10.7|6.151|68.65|3.94|8.632|54.294|28|1|222|18          
KXTRUMPSAY|955|119|10.1|6.476|61.85|3.98|8.869|51.279|10|1|119|8        
KXWTI|767|151|14.0|-7.974|-61.16|18.77|8.379|78.723|18|6|18|6           

(10 rows)
