# ops request [READ]
# type=db  id=b3-metrics-1
# code 657e5021f0c7b6a78d2251e373e4926a2bd3d3a4 · started 2026-09-10T14:56:11Z
row                                                                                              
-------------------------------------------------------------------------------------------------
KXATPEXACTMATCH|338|101|12.7|4.58|15.49|7.40|11.258|78.995|38|7|6|2.66|74|-10.82|0.00|3.45|6     
KXCLUBFGAME|330|92|12.2|-5.27|-17.38|16.97|10.059|80.251|53|12|3|1.74|58|-25.88|-9.23|1.70|3     
KXCS2GAME|237|129|20.1|-6.71|-15.91|21.52|13.126|79.070|102|31|2|1.26|26|-17.98|-17.05|1.13|2    
KXLEAGUESCUPSPREAD|325|61|9.5|-4.67|-15.18|14.15|7.720|79.827|26|6|4|2.35|73|-25.07|-7.47|4.50|8 
KXLEAGUESCUPTOTAL|415|88|11.0|3.83|15.88|6.27|8.956|72.925|34|5|6|2.59|79|-13.86|0.00|4.00|8     
KXMLBGAME|1598|714|19.6|1.18|18.79|14.89|14.811|76.743|552|143|2|1.29|29|-94.76|-43.59|3.83|13   
KXMLBTB|123|36|7.9|-13.19|-16.22|21.14|7.054|88.712|10|2|11|3.60|70|-18.25|0.00|10.20|13         
KXMLBTOTAL|5930|2190|14.2|0.26|15.57|13.31|12.278|78.028|470|128|11|4.66|96|-486.50|-4.91|4.50|13
KXMLSTOTAL|366|131|10.3|5.42|19.83|3.83|9.126|87.817|57|7|6|2.30|74|-8.91|-0.89|2.54|8           
KXWNBAGAME|283|114|19.0|7.04|19.91|8.13|14.188|73.803|94|18|2|1.21|21|-6.39|-6.76|2.69|11        

(10 rows)
