# ops request [READ]
# type=db  id=b4-pnl-1
# code 55c071983a3d01bfa62b5df04e33f72eeba13b2c · started 2026-09-10T15:30:52Z
row                                                                 
--------------------------------------------------------------------
KXATPMATCH|987|19.6|-1.46|-14.44|17.02|14.031|76.994|367|110        
KXBRENTW|153|11.5|8.54|13.07|0.00|8.541|0|4|0                       
KXFEDMENTION|159|10.0|8.25|13.11|0.63|8.766|74.000|27|1             
KXLIGAMXTOTAL|200|11.3|5.84|11.68|4.00|9.114|72.666|27|4            
KXMLBKS|1149|9.7|1.14|13.06|6.70|7.402|86.088|146|21                
KXNPBGAME|174|19.1|8.53|14.84|3.45|11.182|65.842|52|5               
KXRT|463|15.0|-2.39|-11.04|13.39|9.411|78.684|17|5                  
KXUCLTOTAL|272|10.9|4.51|12.26|5.15|8.993|78.151|29|3               
KXUFCMOV|449|12.8|3.23|14.50|8.91|11.934|85.776|42|7                
KXWTACHALLENGERMATCH|215|15.5|-5.10|-10.96|20.00|13.798|80.677|87|23

(10 rows)
