# ops request [READ]
# type=db  id=b5-metrics-1
# code e3c0d4875137b7c77c9f395d67805dfd41d33cca · started 2026-09-10T17:55:01Z
row                                                                                     
----------------------------------------------------------------------------------------
KXARGPREMDIVTOTAL|188|8.9|5.70|10.71|2.66|8.382|92.522|33|3|4|1.70|48|-4.01|0.00|1.61|3 
KXCOPPERD|127|10.1|7.16|9.09|0.00|7.158|0|7|0|6|4.00|86|0.00|0.00|6.86|10               
KXLIGAMXSCORE|203|8.7|5.13|10.41|3.45|8.503|89.440|13|1|15|6.31|100|-2.05|0.00|4.77|8   
KXMLBHIT|561|9.0|1.41|7.93|7.31|8.291|85.810|42|7|19|3.98|76|-16.12|0.00|8.29|13        
KXMLSGAME|317|14.9|3.45|10.93|10.41|12.882|77.751|71|20|3|2.00|72|-10.26|-0.89|2.25|8   
KXTESTMATCH|115|14.7|-9.50|-10.92|19.13|9.642|90.392|8|3|3|2.88|100|-15.94|0.00|1.00|1  
KXUCLGAME|131|14.8|6.19|8.11|6.87|11.961|72.046|27|7|3|2.07|81|-1.59|0.00|2.81|5        
KXWNBATOTAL|849|14.2|1.05|8.92|12.37|11.820|75.261|63|15|9|4.41|97|-52.95|0.00|3.59|11  
KXWTASETWINNER|199|16.6|3.78|7.52|11.06|13.941|77.993|66|13|3|1.26|23|-9.26|-5.62|2.05|4
KXYTVIEWSHIGH|62|9.2|-11.67|-7.24|19.35|7.361|90.972|4|2|9|5.25|100|-8.75|0.00|1.00|1   

(10 rows)
