# ops request [READ]
# type=db  id=batch1-stats
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-07T16:56:12Z
series        trades  contests  mkts  books  entry_c  cents_per_trade  total_usd  loss_pct  avg_win  avg_loss  first       last        trades_per_day
------------  ------  --------  ----  -----  -------  ---------------  ---------  --------  -------  --------  ----------  ----------  --------------
KXMLBHR       9582    306       2046  32     7.8      0.523            50.16      6.8       7.3      -91.2     2026-07-27  2026-09-07  228.1         
KXMLBSPREAD   5315    362       1496  33     12.5     2.247            119.42     9.0       10.6     -82.4     2026-07-03  2026-09-07  80.5          
KXBTCD        2815    57        460   34     12.1     -1.040           -29.29     11.1      9.0      -81.7     2026-07-03  2026-09-06  43.3          
KXITFMATCH    1777    636       788   23     18.0     2.347            41.71      10.8      11.9     -76.7     2026-07-03  2026-09-07  26.9          
KXNFLSPREAD   1486    44        381   23     9.4      -10.179          -151.26    18.4      8.0      -90.8     2026-08-10  2026-08-30  74.3          
KXRAIN        1111    27        221   26     10.7     6.146            68.29      4.0       8.6      -54.3     2026-08-08  2026-09-06  38.3          
KXTRUMPSAY    916     9         107   28     10.1     6.695            61.33      3.8       8.9      -48.5     2026-07-05  2026-08-30  16.4          
KXNFLTOTAL    899     43        301   20     13.6     5.468            49.16      4.7       9.7      -80.3     2026-08-10  2026-08-29  47.3          
KXWTI         767     18        151   28     14.0     -7.974           -61.16     18.8      8.4      -78.7     2026-07-27  2026-09-04  19.7          
KXALBUMEQUIV  311     11        47    27     12.8     -16.442          -51.13     28.3      7.4      -76.8     2026-08-08  2026-09-06  10.7          

(10 rows)
