# ops request [READ]
# type=db  id=cc-an-fam1
# code 666a0ede84ec02304237f596ede622d019807ec9 · started 2026-09-10T21:28:07Z
fam  att  fill  realPnL  set  simFill  simUnfil  simNever                 
--------------------------------------------------------------------------
KXAAAGASD                 4     4    -0.72    4    -0.72     0.00     0.00
KXAAAGASW                 1     1     0.00    0     0.00     0.00     0.00
KXARGNACBTOTAL            0     0     0.00    0     0.00     0.00     0.07
KXARGPREMDIVGAME          1     1     0.10    1     0.07     0.00     0.00
KXARGPREMDIVTOTAL         2     2     0.15    2     0.12     0.00     0.00
KXATPCHALLENGERMATCH     21    18     0.26   18     0.12     0.19     0.00
KXATPEXACTMATCH           4     3     0.20    3     0.20     0.07     0.00
KXATPMATCH                1     1     0.09    1     0.06     0.00     0.00
KXBRASILEIROBGAME         0     0     0.00    0     0.00     0.00     0.06
KXBRASILEIROCTOTAL        0     0     0.00    0     0.00     0.00     0.07
KXBRASILEIROTOTAL         1     0     0.00    0     0.00     0.07     0.00
KXBRENTD                  2     2     0.07    1     0.13     0.00     0.00
KXBTC                     1     1     0.00    0     0.00     0.00     0.00
KXBTCD                    5     4     0.26    4     0.26     0.00     0.00
KXCONMEBOLLIBGAME         0     0     0.00    0     0.00     0.00     0.13
KXCONMEBOLLIBTOTAL        0     0     0.00    0     0.00     0.00     0.07
KXCOPPERD                 1     0     0.00    0     0.00     0.07     0.00
KXCPLMATCH                1     1     0.10    1     0.07     0.00     0.00
KXCS2GAME                 1     1     0.06    1     0.06     0.00     0.00
KXCZEFLTOTAL              0     0     0.00    0     0.00     0.00     0.07
KXDOTA2GAME               1     1     0.06    1     0.06     0.00     0.00
KXEFLCHAMPIONSHIPGAME     2     2     0.14    2     0.14     0.00     0.00
KXEFLCUPGAME              0     0     0.00    0     0.00     0.00     0.06
KXEGYPLGAME               0     0     0.00    0     0.00     0.00     0.25
KXEGYPLTOTAL              0     0     0.00    0     0.00     0.00     0.13
KXEPLGAME                 1     0     0.00    0     0.00     0.00     0.00
KXEREDIVISIEGAME          0     0     0.00    0     0.00     0.00     0.07
KXEREDIVISIETOTAL         0     0     0.00    0     0.00     0.00     0.06
KXETHD                    2     2     0.13    2     0.13     0.00     0.00
KXFEDMENTION              1     0     0.00    0     0.00     0.00     0.00
KXHORMUZWEEKLY            0     0     0.00    0     0.00     0.00     0.07
KXINXU                    1     1     0.07    1     0.07     0.00     0.00
KXITFMATCH               21    18     0.12   17     0.07     0.19     0.00
KXITFWMATCH              10     8    -0.50    8    -0.51     0.12     0.00
KXKLEAGUEGAME             0     0     0.00    0     0.00     0.00     0.06
KXLALIGAGAME              2     2     0.00    0     0.00     0.00     0.00
KXLALIGATOTAL             2     2     0.13    2     0.13     0.00     0.00
KXLEAGUESCUPSCORE         1     1     0.09    1     0.06     0.00     0.00
KXLEAGUESCUPTOTAL         1     0     0.00    0     0.00     0.07     0.00
KXLOLGAME                 1     1     0.06    1     0.06     0.00     0.00
KXLVAVIRGAME              0     0     0.00    0     0.00     0.00     0.06
KXMLBHR                  34    28    -0.02   28    -0.14     0.40     0.00
KXMLBKS                   9     8     0.46    7     0.45     0.07     0.00
KXMLBSPREAD               2     1     0.06    1     0.06     0.07     0.00
KXMLSGAME                 4     2     0.17    2     0.14     0.13     0.00
KXMLSTOTAL                4     3     0.23    3     0.20     0.06     0.00
KXNASDAQ100U              3     1     0.06    1     0.06     0.14     0.00
KXNATGASD                 1     1     0.10    1     0.07     0.00     0.00
KXNCAAFSPREAD             0     0     0.00    0     0.00     0.00     0.19
KXNFLSPREAD               0     0     0.00    0     0.00     0.00     0.07
KXNPBGAME                 1     1     0.06    1     0.06     0.00     0.00
KXNWSLGAME                1     1     0.07    1     0.07     0.00     0.00
KXODIMATCH                1     1     0.06    1     0.06     0.00     0.00
KXRAIN                    4     3     0.23    3     0.21     0.00     0.00
KXRT                      3     2     0.00    0     0.00     0.00     0.00
KXRTX5090WS               1     0     0.00    0     0.00     0.00     0.00
KXSAUDIPLGAME             2     2    -0.87    2    -0.87     0.00     0.00
KXSAUDIPLTOTAL            0     0     0.00    0     0.00     0.00     0.12
KXSERIEATOTAL             0     0     0.00    0     0.00     0.00     0.06
KXSERIEBGAME              0     0     0.00    0     0.00     0.00     0.07
KXSRBSLTOTAL              0     0     0.00    0     0.00     0.00     0.07
KXT20MATCH                2     1     0.10    1     0.07     0.07     0.00
KXTESTMATCH               1     0     0.00    0     0.00     0.00     0.00
KXTFF1LIGGAME             0     0     0.00    0     0.00     0.00     0.14
KXTRUMPSAY                1     0     0.00    0     0.00     0.00     0.00
KXUAEPLGAME               0     0     0.00    0     0.00     0.00     0.12
KXUAEPLTOTAL              0     0     0.00    0     0.00     0.00     0.14
KXUCLGAME                 6     3     0.20    3     0.21     0.20     0.00
KXUCLSPREAD               0     0     0.00    0     0.00     0.00     0.30
KXUCLTOTAL                5     3     0.22    3     0.19     0.13     0.00
KXUFCMOV                  1     1     0.07    1     0.07     0.00     0.00
KXVALORANTGAME            1     1     0.06    1     0.06     0.00     0.00
KXWFIBAGAME               0     0     0.00    0     0.00     0.00     0.26
KXWFIBATOTAL              0     0     0.00    0     0.00     0.00     0.07
KXWT20MATCH               0     0     0.00    0     0.00     0.00     0.19
KXWTACHALLENGERMATCH     11     9    -1.31    9    -1.41     0.13     0.00
KXWTADOUBLES              0     0     0.00    0     0.00     0.00     0.06
KXWTAEXACTMATCH           0     0     0.00    0     0.00     0.00     0.07
KXWTAMATCH                1     1    -0.90    1    -0.93     0.00     0.00
KXWTI                     3     1     0.00    0     0.00     0.14     0.00
KXWTIW                    1     1     0.00    0     0.00     0.00     0.00

(81 rows)
