# ops request [READ]
# type=db  id=cc-an-loss1
# code 666a0ede84ec02304237f596ede622d019807ec9 · started 2026-09-10T21:30:32Z
k        v                                       
-------  ----------------------------------------
  -0.94  KXITFMATCH-26SEP07DOLMEG-DOL            
  -0.94  KXITFWMATCH-26SEP09INOADK-INO           
  -0.94  KXATPCHALLENGERMATCH-26SEP07PETARN-ARN  
  -0.93  KXSAUDIPLGAME-26SEP07HILNEO-NEO         
  -0.93  KXWTACHALLENGERMATCH-26SEP06ZIDBRO-BRO  
  -0.93  KXAAAGASD-26SEP09-4.1850                
  -0.93  KXMLBHR-26SEP082140TORATH-ATHDWALTON35-1
  -0.93  KXMLBHR-26SEP091940AZKC-KCBWITT7-1      
  -0.90  KXWTAMATCH-26SEP06SWIZHE-ZHE            
  -0.90  KXWTACHALLENGERMATCH-26SEP07URGBUL-BUL  

(10 rows)
