# ops request [READ]
# type=db  id=cc-chk1
# code 11b6de4d088eb474f77e5288456b4286f8bd4e91 · started 2026-09-07T00:29:47Z
what                  k              v                                                          
--------------------  -------------  -----------------------------------------------------------
A_realized_today      Emmsell10      -0.9311                                                    
B_orders_since_rearm  resting        1                                                          
C_open_pos            Emmsell10      33                                                         
C_open_pos            Emmsell10_pt4  29                                                         
C_open_pos            Gmmsell1       43                                                         
C_open_pos            mmsell10       122                                                        
D_funnel              00:27          E=0 m10=5 G1=0 opened=42 ccap=44 tier=0 paused=0 inband=619
D_funnel              23:42          E=3 m10=9 G1=3 opened=80 ccap=29 tier=0 paused=0 inband=612
D_funnel              23:55          E=0 m10=5 G1=0 opened=38 ccap=50 tier=0 paused=0 inband=611

(9 rows)
