# ops request [READ]
# type=db  id=cc-cmp-1
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-07T22:19:55Z
window                 tag            closed_n  pnl_usd  cents_per_trade  sd_cents  wins  losses  still_open
---------------------  -------------  --------  -------  ---------------  --------  ----  ------  ----------
A_since_arm_0207T0201  Fmmsell10      44        -2.1763  -4.95            32.08     39    5       31        
A_since_arm_0207T0201  Fmmsell10_pt4  44        -1.9695  -4.48            32.06     39    5       31        
A_since_arm_0207T0201  Gmmsell0       92        -4.0077  -4.36            31.31     82    10      48        
A_since_arm_0207T0201  Gmmsell1       38        -2.5402  -6.68            34.25     33    5       16        
A_since_arm_0207T0201  mmsell10       92        -4.0077  -4.36            31.31     82    10      45        
B_G_arms_since_0906    Gmmsell0       412       -0.2771  -0.07            24.77     384   28      85        
B_G_arms_since_0906    Gmmsell1       227       -2.2903  -1.01            26.37     210   17      41        

(7 rows)
