# ops request [READ]
# type=db  id=cc-d4-chk1
# code 8e8bb39fc08e4cf248b9e7966796630f0c6de236 · started 2026-09-10T11:59:24Z
what                     k                                             v                      
-----------------------  --------------------------------------------  -----------------------
A_realized_0910          Emmsell10                                     0.2558 n=4             
A_realized_0910          Fmmsell10                                     -0.0617 n=30           
A_realized_0910          Fmmsell10_pt4                                 0.1746 n=30            
B_cumulative_since_arm   Fmmsell10                                     2.1711 n=188           
B_cumulative_since_arm   Fmmsell10_pt4                                 3.1164 n=188           
C_live_open_by_cap_rule  STILL OPEN vs bound 40                        16                     
D_live_orders            canceled                                      61 last=09-10 06:57    
D_live_orders            filled                                        131 last=09-10 11:27   
D_live_orders            resting                                       4 last=09-10 10:42     
E_integrity_err          EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52 resolved=NO
F_last_scan              09-10 11:57:40                                5 cycles in 2h         

(11 rows)
