# ops request [READ]
# type=db  id=cc-d5-chk1
# code 657e5021f0c7b6a78d2251e373e4926a2bd3d3a4 · started 2026-09-10T15:06:18Z
k                             v                                                       
----------------------------  --------------------------------------------------------
A1_breaker_portfolio_today    -0.5015 vs -5.00 (n=35)                                 
A2_F_exch_realized_since_arm  -1.4143 settled=123                                     
B_live_open_by_cap_rule       19 vs bound 40                                          
C_fill_rate                   136 filled / 180 ordered                                
D_orders_canceled             65 last=09-10 14:45                                     
D_orders_filled               136 last=09-10 14:40                                    
D_orders_resting              6 last=09-10 14:52                                      
E_last_fill                   09-10 14:55 fills24h=40                                 
F_integrity_err               EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling 09-06 23:52
G_last_scan                   09-10 14:53:03 cycles2h=5                               
H_twin_papertrades            3.5986 n=195                                            
I_E_open                      0                                                       

(12 rows)
