# ops request [READ]
# type=db  id=cc-diag-1
# code 98597f4d1557e7a7dfc7aa6920a1e8da969eb128 · started 2026-09-06T19:26:05Z
what       k                                        v                                                                                                                                                                                               
---------  ---------------------------------------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
INTEGRITY  EXPERIMENT_EXECUTION_STOOD_DOWN / info   2026-08-20 15:44:16.917203+00 | theta4-live-1 is intentionally stood down — the runtime live allowlist is empty, so this book places no new entries. Open positions still exit and settle. Evide
INTEGRITY  EXPERIMENT_EXECUTION_STOOD_DOWN / info   2026-08-20 15:44:16.957065+00 | lmmsell-live-1 is intentionally stood down — the runtime live allowlist is empty, so this book places no new entries. Open positions still exit and settle. Evid
INTEGRITY  EXPERIMENT_EXECUTION_STOOD_DOWN / info   2026-08-28 14:20:36.086962+00 | mmsell-ceiling-live-1 is intentionally stood down — the runtime live allowlist is empty, so this book places no new entries. Open positions still exit and settl
ORDER      KXATPEXACTMATCH-26SEP06PAUALC-PAU31      2026-09-06 18:19:31.634263+00 st=filled px=93 qty=1                                                                                                                                             
ORDER      KXATPMATCH-26SEP06PAUALC-PAU             2026-09-06 19:16:18.40731+00 st=resting px=91 qty=1                                                                                                                                             
ORDER      KXMLBGAME-26SEP061310ATLPHI-ATL          2026-09-06 19:16:20.855947+00 st=filled px=90 qty=1                                                                                                                                             
ORDER      KXMLBGAME-26SEP061340CHCMIA-CHC          2026-09-06 19:16:22.619364+00 st=filled px=94 qty=1                                                                                                                                             
ORDER      KXMLBHR-26SEP061310ATLPHI-ATLARILEY27-1  2026-09-06 18:49:59.278851+00 st=resting px=94 qty=1                                                                                                                                            
ORDER      KXMLBHR-26SEP061310ATLPHI-ATLRACUNA13-1  2026-09-06 18:18:46.004262+00 st=filled px=90 qty=1                                                                                                                                             
ORDER      KXMLBHR-26SEP061310ATLPHI-PHITTURNER7-1  2026-09-06 18:18:47.267383+00 st=resting px=93 qty=1                                                                                                                                            
ORDER      KXMLBHR-26SEP061340CHCMIA-CHCCKELLY15-1  2026-09-06 18:19:03.35831+00 st=resting px=93 qty=1                                                                                                                                             
ORDER      KXMLBSPREAD-26SEP061340CHCMIA-MIA5       2026-09-06 18:50:31.038314+00 st=filled px=93 qty=1                                                                                                                                             
ORDER      KXMLBTOTAL-26SEP061310ATLPHI-13          2026-09-06 18:18:40.705755+00 st=filled px=91 qty=1                                                                                                                                             

(13 rows)
