# ops request [READ]
# type=db  id=cc-diag-2
# code 98597f4d1557e7a7dfc7aa6920a1e8da969eb128 · started 2026-09-06T19:30:44Z
what                k                                        v                                        
------------------  ---------------------------------------  -----------------------------------------
pp_atlphi           KXMLBGAME-26SEP061310ATLPHI-ATL          open opened=2026-09-06 19:16:20.184718+00
pp_atlphi           KXMLBHR-26SEP061310ATLPHI-ATLARILEY27-1  open opened=2026-09-06 18:49:58.643293+00
pp_atlphi           KXMLBHR-26SEP061310ATLPHI-ATLRACUNA13-1  open opened=2026-09-06 18:18:45.306259+00
pp_atlphi           KXMLBHR-26SEP061310ATLPHI-PHITTURNER7-1  open opened=2026-09-06 18:18:46.642798+00
pp_atlphi           KXMLBTOTAL-26SEP061310ATLPHI-13          open opened=2026-09-06 18:18:40.099062+00
pp_gmmsell1_status  open                                     84                                       
pp_gmmsell1_status  settled                                  101                                      
pp_status           open                                     63                                       
pp_status           settled                                  1                                        
pp_twin_status      open                                     56                                       
pp_twin_status      settled                                  1                                        
pt_status           open                                     63                                       
pt_status           settled                                  1                                        

(13 rows)
