# ops request [READ]
# type=db  id=cc-g2-chk11
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-07T22:09:20Z
what              k                                             v                                    
----------------  --------------------------------------------  -------------------------------------
A_realized_today  Emmsell10                                     -0.6620                              
A_realized_today  Fmmsell10                                     -2.1763                              
A_realized_today  Fmmsell10_pt4                                 -1.9695                              
B_live_orders     canceled                                      14                                   
B_live_orders     filled                                        37                                   
B_live_orders     resting                                       6                                    
C_open_pos        Emmsell10                                     20                                   
C_open_pos        Emmsell10_pt4                                 18                                   
C_open_pos        Fmmsell10                                     29                                   
C_open_pos        Fmmsell10_pt4                                 29                                   
C_open_pos        mmsell10                                      87                                   
D_integrity_err   EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52                          
E_funnel          21:42                                         F=2 opened=79 ccap=78 tier=1 paused=0
F_pnl_hourly      20:00                                         -0.6654 n=5                          
F_pnl_hourly      21:00                                         0.3936 n=6                           

(15 rows)
