# ops request [READ]
# type=db  id=cc-g2-chk12
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-08T00:32:42Z
what                      k                                             v                                    
------------------------  --------------------------------------------  -------------------------------------
A_realized_0908_new_day   Fmmsell10                                     0.1279 n=2                           
B_realized_0907_full_day  Emmsell10                                     -0.6030 n=22                         
B_realized_0907_full_day  Fmmsell10                                     -1.9696 n=47                         
C_live_orders             canceled                                      16                                   
C_live_orders             filled                                        40                                   
C_live_orders             resting                                       7                                    
D_open_pos                Emmsell10                                     19                                   
D_open_pos                Fmmsell10                                     30                                   
D_open_pos                Fmmsell10_pt4                                 30                                   
D_open_pos                mmsell10                                      92                                   
E_integrity_err           EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52                          
F_funnel                  00:17                                         F=1 opened=49 ccap=91 tier=0 paused=0

(12 rows)
