# ops request [READ]
# type=db  id=cc-g2-chk13
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-08T03:38:41Z
what             k                                             v                                    
---------------  --------------------------------------------  -------------------------------------
A_realized_0908  Fmmsell10                                     0.3936 n=6                           
A_realized_0908  Fmmsell10_pt4                                 0.4527 n=6                           
B_live_orders    canceled                                      19                                   
B_live_orders    filled                                        45                                   
B_live_orders    resting                                       3                                    
C_open_pos       Emmsell10                                     19                                   
C_open_pos       Fmmsell10                                     29                                   
C_open_pos       Fmmsell10_pt4                                 29                                   
C_open_pos       mmsell10                                      111                                  
D_integrity_err  EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52                          
E_funnel         03:29                                         F=0 opened=36 ccap=88 tier=0 paused=0

(11 rows)
