# ops request [READ]
# type=db  id=cc-g2-chk15
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-08T10:49:39Z
what             k                                                     v                                    
---------------  ----------------------------------------------------  -------------------------------------
A_realized_0908  Emmsell10                                             0.0689 n=1                           
A_realized_0908  Fmmsell10                                             0.9151 n=14                          
A_realized_0908  Fmmsell10_pt4                                         0.9742 n=14                          
B_live_orders    canceled                                              22                                   
B_live_orders    filled                                                49                                   
B_live_orders    resting                                               5                                    
C_open_pos       Emmsell10                                             18                                   
C_open_pos       Fmmsell10                                             32                                   
C_open_pos       Fmmsell10_pt4                                         32                                   
C_open_pos       mmsell10                                              91                                   
D_integrity_err  EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling          09-06 18:16 resolved=09-06 19:25     
D_integrity_err  EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling          09-06 23:52 resolved=NO              
D_integrity_err  EXPERIMENT_CONFIG_DRIFT mmsell-scheduled-settle-live  09-06 18:16 resolved=09-06 19:25     
D_integrity_err  EXPERIMENT_CONFIG_DRIFT theta4-fat-tail               09-06 18:16 resolved=09-06 19:25     
E_funnel         10:29                                                 F=3 opened=26 ccap=63 tier=0 paused=0

(15 rows)
