# ops request [READ]
# type=db  id=cc-g2-chk2
# code 71458417f5045118a78ce255da1acbe2c30d929c · started 2026-09-07T03:11:24Z
what              k                                             v                                                
----------------  --------------------------------------------  -------------------------------------------------
A_realized_today  Emmsell10                                     -0.1146                                          
A_realized_today  Fmmsell10                                     0.0590                                           
B_live_orders     filled                                        6                                                
B_live_orders     resting                                       5                                                
C_open_pos        Emmsell10                                     27                                               
C_open_pos        Emmsell10_pt4                                 24                                               
C_open_pos        Fmmsell10                                     18                                               
C_open_pos        Fmmsell10_pt4                                 18                                               
C_open_pos        Gmmsell1                                      37                                               
C_open_pos        mmsell10                                      109                                              
D_integrity_err   EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52                                      
E_funnel          02:58                                         F=1 Fpt=1 m10=5 opened=61 ccap=50 tier=0 paused=0

(12 rows)
