# ops request [READ]
# type=db  id=cc-g2-chk4
# code 71458417f5045118a78ce255da1acbe2c30d929c · started 2026-09-07T06:07:11Z
what              k                                             v                                               
----------------  --------------------------------------------  ------------------------------------------------
A_realized_today  Emmsell10                                     0.1412                                          
A_realized_today  Fmmsell10                                     0.5017                                          
B_live_orders     canceled                                      2                                               
B_live_orders     filled                                        8                                               
B_live_orders     resting                                       4                                               
C_open_pos        Emmsell10                                     23                                              
C_open_pos        Emmsell10_pt4                                 20                                              
C_open_pos        Fmmsell10                                     17                                              
C_open_pos        Fmmsell10_pt4                                 17                                              
C_open_pos        mmsell10                                      73                                              
D_integrity_err   EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52                                     
E_funnel          06:05                                         F=1 Fpt=1 m10=0 opened=3 ccap=50 tier=0 paused=1

(12 rows)
