# ops request [READ]
# type=db  id=cc-g2-chk6
# code 303664b770e94c90a3bda34a26246a75c8189f14 · started 2026-09-07T11:31:03Z
what               k                                             v                                                
-----------------  --------------------------------------------  -------------------------------------------------
A_realized_today   Emmsell10                                     0.2101                                           
A_realized_today   Fmmsell10                                     -0.0655                                          
B_live_orders      canceled                                      8                                                
B_live_orders      filled                                        14                                               
B_live_orders      resting                                       6                                                
C_open_pos         Emmsell10                                     22                                               
C_open_pos         Emmsell10_pt4                                 20                                               
C_open_pos         Fmmsell10                                     22                                               
C_open_pos         Fmmsell10_pt4                                 22                                               
C_open_pos         mmsell10                                      79                                               
D_integrity_err    EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52                                      
E_funnel           10:53                                         F=2 Fpt=2 m10=2 opened=22 ccap=44 tier=1 paused=0
E_funnel           11:23                                         F=1 Fpt=1 m10=1 opened=11 ccap=54 tier=0 paused=0
F_deploys_open     mmsell-contestcap-live-2 [live]               Fmmsell10                                        
F_deploys_open     mmsell-contestcap-paper-1-e2-e3 [paper]       mmsell10                                         
F_deploys_open     mmsell-contestcap-twin-2 [paper_twin]         Fmmsell10_pt4                                    
G_twin_epoch_open  Fmmsell10_pt4 <- Fmmsell10                    09-07 02:03                                      

(17 rows)
