# ops request [READ]
# type=db  id=cc-g2-chk7
# code b6cdd9d4b1b0e4666485755e1f7b911bc142d4ab · started 2026-09-07T14:06:20Z
what               k                                             v                                                
-----------------  --------------------------------------------  -------------------------------------------------
A_realized_today   Emmsell10                                     0.2101                                           
A_realized_today   Fmmsell10                                     -0.8196                                          
B_live_orders      canceled                                      8                                                
B_live_orders      filled                                        20                                               
B_live_orders      resting                                       8                                                
C_open_pos         Emmsell10                                     22                                               
C_open_pos         Emmsell10_pt4                                 20                                               
C_open_pos         Fmmsell10                                     27                                               
C_open_pos         Fmmsell10_pt4                                 27                                               
C_open_pos         mmsell10                                      81                                               
D_integrity_err    EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52                                      
E_funnel           13:29                                         F=1 Fpt=1 m10=1 opened=18 ccap=41 tier=0 paused=0
E_funnel           13:51                                         F=3 Fpt=3 m10=3 opened=26 ccap=40 tier=0 paused=0
F_deploys_open     mmsell-contestcap-live-2 [live]               Fmmsell10                                        
F_deploys_open     mmsell-contestcap-paper-1-e2-e3 [paper]       mmsell10                                         
F_deploys_open     mmsell-contestcap-twin-2 [paper_twin]         Fmmsell10_pt4                                    
G_twin_epoch_open  Fmmsell10_pt4 <- Fmmsell10                    09-07 02:03                                      

(17 rows)
