# ops request [READ]
# type=db  id=cc-g2-chk8
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-07T16:41:00Z
what              k                                             v                                                
----------------  --------------------------------------------  -------------------------------------------------
A_realized_today  Emmsell10                                     -0.7210                                          
A_realized_today  Fmmsell10                                     -1.2783                                          
B_live_orders     canceled                                      11                                               
B_live_orders     filled                                        26                                               
B_live_orders     resting                                       9                                                
C_open_pos        Emmsell10                                     21                                               
C_open_pos        Emmsell10_pt4                                 19                                               
C_open_pos        Fmmsell10                                     31                                               
C_open_pos        Fmmsell10_pt4                                 31                                               
C_open_pos        mmsell10                                      90                                               
D_integrity_err   EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52                                      
E_funnel          16:11                                         F=1 Fpt=1 m10=4 opened=35 ccap=55 tier=0 paused=0
E_funnel          16:30                                         F=3 Fpt=3 m10=7 opened=50 ccap=70 tier=1 paused=0
F_pnl_hourly      02:00                                         0.0590 n=1                                       
F_pnl_hourly      03:00                                         0.2459 n=4                                       
F_pnl_hourly      04:00                                         0.1279 n=2                                       
F_pnl_hourly      05:00                                         0.0689 n=1                                       
F_pnl_hourly      08:00                                         -0.8230 n=3                                      
F_pnl_hourly      10:00                                         0.1180 n=2                                       
F_pnl_hourly      11:00                                         0.1968 n=3                                       
F_pnl_hourly      13:00                                         -0.8721 n=2                                      
F_pnl_hourly      14:00                                         0.1968 n=3                                       
F_pnl_hourly      15:00                                         -0.8622 n=2                                      
F_pnl_hourly      16:00                                         0.2657 n=4                                       

(24 rows)
