# ops request [READ]
# type=db  id=cc-g2-chk9
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-07T18:24:38Z
what              k                                             v                                     
----------------  --------------------------------------------  --------------------------------------
A_realized_today  Emmsell10                                     -0.7210                               
A_realized_today  Fmmsell10                                     -2.0815                               
B_live_orders     canceled                                      11                                    
B_live_orders     filled                                        29                                    
B_live_orders     resting                                       9                                     
C_open_pos        Emmsell10                                     21                                    
C_open_pos        Emmsell10_pt4                                 19                                    
C_open_pos        Fmmsell10                                     31                                    
C_open_pos        Fmmsell10_pt4                                 31                                    
C_open_pos        mmsell10                                      97                                    
D_integrity_err   EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52                           
E_funnel          18:04                                         F=0 opened=30 ccap=104 tier=0 paused=0
F_pnl_hourly      16:00                                         0.2657 n=4                            
F_pnl_hourly      17:00                                         -0.8622 n=2                           
F_pnl_hourly      18:00                                         0.0590 n=1                            
G_twin_pnl        Fmmsell10_pt4                                 -1.8747 n=30                          

(16 rows)
