# latest deployment 363b5a3d-8fdc-4d87-821d-29646de87360 (status=SUCCESS, created=2026-09-07T01:44:37.044Z)
# ops request [READ]
# type=logs  service=main  id=cc-g2-logs
# code 1bdfc2b5bd000431c4b4055c3f1b1d65ecb7714b · started 2026-09-07T01:56:00Z
# target service: main
2026-09-07T01:45:19.650716499Z INFO  Starting Container
2026-09-07T01:45:20.167242713Z ERROR  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-09-07T01:45:20.167247193Z ERROR  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-09-07T01:45:20.167251243Z INFO  starting kalshi bot
2026-09-07T01:45:20.167254963Z ERROR  experiment OS experiment command hook failed; continuing to trade
2026-09-07T01:45:20.203116830Z INFO  experiment OS enforcement
2026-09-07T01:45:20.203120350Z ERROR  experiment OS config drift detected at boot
2026-09-07T01:45:20.321497308Z INFO  api limits probe: {"grants": [{"exchange_instance": "event_contract", "level": "advanced", "source": "manual"}], "read": {"bucket_capacity": 900, "refill_rate": 300}, "usage_tier": "advanced", "write": {"bucket_capacity": 900, "refill_rate": 300}}
2026-09-07T01:45:20.330678968Z INFO  kalshi api tier upgrade skipped
2026-09-07T01:45:20.330682038Z INFO  live/paper twins configured
2026-09-07T01:45:20.401631862Z INFO  live recover: reconciling in-flight orders
2026-09-07T01:45:20.829038835Z WARN  drain cancel failed (1/5) for Emmsell10 01a07942-6308-7391-9a29-88f908931ebb: KalshiAPIError: Kalshi API error 404 on /trade-api/v2/portfolio/events/orders/01a07942-6308-7391-9a29-88f908931ebb: {"error":{"code":"not_found","message":"not found"}}
2026-09-07T01:45:20.829042245Z INFO  live drain: cancelled 0/1 resting orders (book_stood_down)
2026-09-07T01:45:21.007263175Z INFO  abandoned foreign paper positions
2026-09-07T01:45:28.527896072Z INFO  gate evaluation cycle
2026-09-07T01:45:28.527901512Z INFO  exchange status
2026-09-07T01:45:29.284782555Z WARN  drain cancel failed (2/5) for Emmsell10 01a07942-6308-7391-9a29-88f908931ebb: KalshiAPIError: Kalshi API error 404 on /trade-api/v2/portfolio/events/orders/01a07942-6308-7391-9a29-88f908931ebb: {"error":{"code":"not_found","message":"not found"}}
2026-09-07T01:45:29.284789795Z INFO  live drain: cancelled 0/1 resting orders (book_stood_down)
2026-09-07T01:47:09.545820822Z INFO  polymarket index
2026-09-07T01:47:09.545823661Z INFO  weather market
2026-09-07T01:47:09.545829121Z INFO  weather market
2026-09-07T01:47:09.545832931Z INFO  weather market
2026-09-07T01:47:09.545836051Z INFO  weather market
2026-09-07T01:47:09.545840011Z INFO  weather market
2026-09-07T01:47:09.545843551Z INFO  weather market
2026-09-07T01:47:09.545975299Z INFO  weather market
2026-09-07T01:47:09.545978329Z INFO  weather market
2026-09-07T01:47:09.545980959Z INFO  weather market
2026-09-07T01:47:09.546067998Z INFO  weather market
2026-09-07T01:47:09.546071388Z INFO  weather cycle
2026-09-07T01:47:09.546074348Z INFO  live cycle
2026-09-07T01:47:29.548114842Z INFO  weather validation
2026-09-07T01:47:29.548118362Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
2026-09-07T01:47:29.548121282Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
2026-09-07T01:47:29.548124162Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
2026-09-07T01:47:29.548126622Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
2026-09-07T01:47:29.548130322Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
2026-09-07T01:47:29.548133012Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
2026-09-07T01:47:29.548135672Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
2026-09-07T01:48:29.673764467Z INFO  mmsell book
2026-09-07T01:49:29.710315236Z INFO  regime history capture
2026-09-07T01:49:29.710320836Z INFO  theta: shadow cost
2026-09-07T01:49:29.710325066Z INFO  theta book funnel/v1 state=NO_ACTIONS first_zero=actions fetched=1416 eligible=976 candidates=19 actions=0 fetch=OK empty_series=0/4 failed_series=0/4
2026-09-07T01:49:29.710328066Z ERROR  freeze: ENTIRE configured universe returned zero open markets (7/7 series empty, none failed) — this book cannot trade: [KXCOCOA KXCOFFEE KXCORN KXCOTTON KXSOYBEAN +2]
2026-09-07T01:49:29.710330856Z INFO  freeze book funnel/v1 state=NO_MARKETS first_zero=fetched fetched=0 eligible=0 candidates=0 actions=0 fetch=EMPTY_UNIVERSE empty_series=7/7 empty=[KXCOCOA KXCOFFEE KXCORN KXCOTTON KXSOYBEAN +2] failed_series=0/7
2026-09-07T01:49:29.710639542Z ERROR  xgame: ENTIRE configured universe returned zero open markets (1/1 series empty, none failed) — this book cannot trade: [KXWCGAME]
2026-09-07T01:49:29.710642002Z INFO  xgame collector: funnel/v1 state=NO_MARKETS first_zero=fetched fetched=0 eligible=0 candidates=0 actions=0 fetch=EMPTY_UNIVERSE empty_series=1/1 empty=[KXWCGAME] failed_series=0/1 kal_games=0 pm_games=0 matched_new=0 active=0 polled=0 skipped_window=0 kal_rows=0 pm_rows=0 signals=0 opened=0 ended=0 errors=0
2026-09-07T01:50:29.751958329Z INFO  exchange status
2026-09-07T01:50:29.751963539Z WARN  drain cancel failed (3/5) for Emmsell10 01a07942-6308-7391-9a29-88f908931ebb: KalshiAPIError: Kalshi API error 404 on /trade-api/v2/portfolio/events/orders/01a07942-6308-7391-9a29-88f908931ebb: {"error":{"code":"not_found","message":"not found"}}
