# ops request [READ]
# type=db  id=cc-g2-verify6
# code 61ecf8b5611daaa85ab133d52c82737dbc8e1972 · started 2026-09-07T02:06:57Z
what                   k                  v                                                           
---------------------  -----------------  ------------------------------------------------------------
funnel                 01:48              F=0 Fpt=0 m10=2 opened=32 ccap=15 tier=0 paused=0 inband=615
live_orders_since_arm  Fmmsell10 filled   1                                                           
live_orders_since_arm  Fmmsell10 resting  4                                                           
new_paper_rows         Fmmsell10          9                                                           
new_paper_rows         Fmmsell10_pt4      8                                                           
open_pos               Emmsell10          32                                                          
open_pos               Emmsell10_pt4      29                                                          
open_pos               Fmmsell10          9                                                           
open_pos               Fmmsell10_pt4      8                                                           
open_pos               mmsell10           109                                                         

(10 rows)
