# ops request [READ]
# type=db  id=cc-gap-1
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-10T08:52:44Z
what                    k                                             v                      
----------------------  --------------------------------------------  -----------------------
A_pnl_by_day            09-07 Emmsell10                               -0.6030 n=22           
A_pnl_by_day            09-07 Fmmsell10                               -1.9696 n=47           
A_pnl_by_day            09-07 Fmmsell10_pt4                           -1.7628 n=47           
A_pnl_by_day            09-08 Emmsell10                               0.0689 n=1             
A_pnl_by_day            09-08 Fmmsell10                               1.9912 n=46            
A_pnl_by_day            09-08 Fmmsell10_pt4                           2.3162 n=46            
A_pnl_by_day            09-09 Emmsell10                               0.1279 n=2             
A_pnl_by_day            09-09 Fmmsell10                               2.2112 n=65            
A_pnl_by_day            09-09 Fmmsell10_pt4                           2.3884 n=65            
A_pnl_by_day            09-10 Emmsell10                               0.2558 n=4             
A_pnl_by_day            09-10 Fmmsell10                               -0.0617 n=30           
A_pnl_by_day            09-10 Fmmsell10_pt4                           0.1746 n=30            
B_cumulative_since_arm  Fmmsell10                                     2.1711 n=188           
B_cumulative_since_arm  Fmmsell10_pt4                                 3.1164 n=188           
C_live_orders           canceled                                      59 last=09-10 05:52    
C_live_orders           filled                                        130 last=09-10 05:53   
C_live_orders           resting                                       4 last=09-10 06:57     
D_open_pos              Emmsell10                                     12                     
D_open_pos              Fmmsell10                                     50                     
D_open_pos              Fmmsell10_pt4                                 50                     
D_open_pos              mmsell10                                      120                    
E_integrity_err         EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52 resolved=NO
F_deploys_open          mmsell-contestcap-live-2 [live]               Fmmsell10              
F_deploys_open          mmsell-contestcap-paper-1-e2-e3 [paper]       mmsell10               
F_deploys_open          mmsell-contestcap-twin-2 [paper_twin]         Fmmsell10_pt4          
G_twin_epoch_open       Fmmsell10_pt4 <- Fmmsell10                    09-07 02:03            
H_last_scan             09-10 08:31:18                                4 cycles in 2h         

(27 rows)
