# ops request [READ]
# type=db  id=cc-health-20260906-2
# code 46661a984dc183c0df68f5291df2026ad00e570a · started 2026-09-06T00:55:43Z
strategy   trades_12h  still_open  closed  pnl_12h  last_trade                      
---------  ----------  ----------  ------  -------  --------------------------------
mmsell     226         57          169     3.89     2026-09-06 00:43:14.648202+00:00
mmsell6    202         92          110     -1.45    2026-09-06 00:43:40.124956+00:00
Dmmsell10  167         56          111     0.20     2026-09-06 00:43:42.261758+00:00
Cmmsell10  166         55          111     0.20     2026-09-06 00:43:42.252313+00:00
Lmmsell10  166         55          111     0.20     2026-09-06 00:43:42.241770+00:00
mmsell10   166         55          111     0.20     2026-09-06 00:43:42.213656+00:00
mmsell5    134         74          60      4.66     2026-09-06 00:43:48.359985+00:00
mmsellA4   126         48          78      0.04     2026-09-06 00:43:42.229813+00:00
mmsellA5   105         17          88      -1.36    2026-09-06 00:43:45.115533+00:00
Tmmsell6   45          28          17      -0.91    2026-09-06 00:43:38.726690+00:00
mmsell7    6           5           1       0.06     2026-09-05 23:39:23.396342+00:00
Tmmsell1   4           2           2       0.13     2026-09-05 23:39:23.464101+00:00
Tmmsell5   4           2           2       0.13     2026-09-05 23:39:23.473820+00:00
mmsell8    3           2           1       0.06     2026-09-05 23:39:23.406703+00:00
Lmmsell8   3           2           1       0.06     2026-09-05 23:39:23.496497+00:00
theta4     2           0           2       1.03     2026-09-05 21:26:59.338100+00:00

(16 rows)
