# ops request [READ]
# type=db  id=cc-live-1
# code 5b49a66d9e354722f45d65d69becccee267820bc · started 2026-09-06T18:50:13Z
what              k                              v                                                             
----------------  -----------------------------  --------------------------------------------------------------
orders_by_status  filled                         9                                                             
orders_by_status  pending                        1                                                             
orders_by_status  resting                        14                                                            
orders_window     first_at                       2026-09-06 18:18:25.454479+00                                 
orders_window     last_at                        2026-09-06 18:49:59.278851+00                                 
funnel            2026-09-06 18:19:41.734788+00  perbook_E=40 opened=162 contestcap=24 livetier=16 livepaused=1
twin_rows         Emmsell10_pt4                  40                                                            

(7 rows)
