# ops request [READ]
# type=db  id=cc-live-2
# code 81c97a930f6e2e8ee86461a34b304e00c23b1f53 · started 2026-09-06T19:23:21Z
what                    k        v                            
----------------------  -------  -----------------------------
orders_by_status        filled   14                           
orders_by_status        resting  24                           
orders_last_at          -        2026-09-06 19:17:24.912911+00
PNL_realized_total      sum_usd  0.0000                       
PNL_unrealized_total    sum_usd  0                            
exposure_total          sum_usd  12.9700                      
exposure_MAX_single     max_usd  0.9400                       
positions_open          count    14                           
positions_settled_flat  count    0                            
worst_single_realized   min_usd  0.0000                       

(10 rows)
