# ops request [READ]
# type=db  id=cc-meta-shape-1
# code cbbf710825f6de72e365f3977c4a86c8a2684fc3 · started 2026-09-05T14:39:48Z
series                n     dates  mn                         mx                       
--------------------  ----  -----  -------------------------  -------------------------
KXMLBHR               3854  13     2026-08-22 16:35:00+00:00  2026-09-07 02:10:00+00:00
KXITFMATCH            2118  25     2026-08-23 03:00:00+00:00  2026-09-19 12:00:00+00:00
KXMLBTOTAL            1971  17     2026-08-22 16:35:00+00:00  2026-09-09 01:10:00+00:00
KXITFWMATCH           1688  26     2026-08-22 22:30:00+00:00  2026-09-19 13:00:00+00:00
KXATPCHALLENGERMATCH  1362  25     2026-08-23 05:00:00+00:00  2026-09-19 14:00:00+00:00
KXNCAAFSPREAD         1341  7      2026-08-31 02:00:00+00:00  2026-09-09 23:30:00+00:00
KXMLBSPREAD           1304  13     2026-08-22 16:35:00+00:00  2026-09-07 02:10:00+00:00
KXMLBKS               946   14     2026-08-22 16:35:00+00:00  2026-09-07 02:10:00+00:00
KXNFLSPREAD           908   10     2026-08-23 00:00:00+00:00  2026-09-16 00:20:00+00:00
KXATPSETWINNER        634   25     2026-08-22 16:30:00+00:00  2026-09-18 01:40:00+00:00
KXMLBHIT              581   7      2026-08-23 00:40:00+00:00  2026-09-07 02:10:00+00:00
KXBTCD                567   13     2026-08-22 21:00:00+00:00  2026-09-11 21:00:00+00:00
KXMLBTEAMTOTAL        559   13     2026-08-22 20:10:00+00:00  2026-09-07 02:10:00+00:00
KXNFLTOTAL            555   8      2026-08-23 00:00:00+00:00  2026-09-15 20:25:00+00:00
KXMLBF5TOTAL          545   13     2026-08-22 16:35:00+00:00  2026-09-07 02:10:00+00:00
KXATPMATCH            542   24     2026-08-22 16:30:00+00:00  2026-09-17 15:00:00+00:00
KXNCAAFTOTAL          533   5      2026-08-31 02:00:00+00:00  2026-09-07 23:00:00+00:00
KXWTAMATCH            518   24     2026-08-22 16:00:00+00:00  2026-09-17 20:00:00+00:00
KXWTASETWINNER        512   23     2026-08-22 16:00:00+00:00  2026-09-17 15:00:00+00:00
KXEPLSCORE            360   7      2026-08-24 01:00:00+00:00  2026-09-07 20:00:00+00:00
KXMLBGAME             350   16     2026-08-22 16:35:00+00:00  2026-09-08 23:15:00+00:00
KXUFCMOV              329   11     2026-08-22 23:00:00+00:00  2026-09-16 00:20:00+00:00
KXKFTOUR              306   3      2026-08-23 00:00:00+00:00  2026-09-06 00:00:00+00:00
KXWNBASPREAD          271   6      2026-08-23 00:00:00+00:00  2026-09-01 19:00:00+00:00
KXRAIN                258   12     2026-08-23 04:00:00+00:00  2026-09-06 08:00:00+00:00

(25 rows)
