# ops request [READ]
# type=db  id=cc-orphan-1
# code a7503717b335c4bc98f67950431d057f258f9e3e · started 2026-09-10T20:05:12Z
k                                 v                                                                
--------------------------------  -----------------------------------------------------------------
1_orphan_rows                     48 rows, pnl=3.0597                                              
2_orphan_has_ANY_live_order       0                                                                
3_orphan_order_by_OTHER_strategy  1                                                                
4_orphan_opened_before_epoch      0                                                                
5_orphan_sample_1                 KXNCAAFSPREAD-26SEP06LOUMISS-MISS25 opened=09-07 02:03 pnl=0.0590
5_orphan_sample_10                KXEGYPLGAME-26SEP07ALQGAI-GAI opened=09-07 15:27 pnl=0.0590      
5_orphan_sample_11                KXLVAVIRGAME-26SEP07RFCBFC-BFC opened=09-07 16:30 pnl=0.0590     
5_orphan_sample_12                KXEGYPLGAME-26SEP07PETMAS-MAS opened=09-07 18:36 pnl=0.0590      
5_orphan_sample_13                KXSERIEATOTAL-26SEP07UDILAZ-5 opened=09-07 19:06 pnl=0.0590      
5_orphan_sample_14                KXSERIEBGAME-26SEP07PALSAM-TIE opened=09-07 19:36 pnl=0.0689     
5_orphan_sample_15                KXARGNACBTOTAL-26SEP07CHIQUI-3 opened=09-07 21:41 pnl=0.0689     
5_orphan_sample_16                KXBRASILEIROCTOTAL-26SEP07PSCBRU-7 opened=09-07 22:12 pnl=0.0689 

(12 rows)
