# ops request [READ]
# type=db  id=cc-papval-1
# code 4a6254f3afba3a587d5c7e51d5c4440e32943051 · started 2026-09-06T20:40:48Z
strategy  market_ticker                               opened_at                    
--------  ------------------------------------------  -----------------------------
Gmmsell0  KXATPEXACTMATCH-26SEP06PAUALC-ALC31         2026-09-06 20:31:34.094462+00
Gmmsell0  KXLALIGABTTS-26SEP06ESPSEV-BTTS             2026-09-06 20:31:56.953873+00
Gmmsell0  KXMLBHR-26SEP061435TBTEX-TBJARANDA8-1       2026-09-06 20:32:05.488174+00
Gmmsell0  KXMLBHR-26SEP061435TBTEX-TBYDIAZ2-1         2026-09-06 20:39:26.534201+00
Gmmsell0  KXMLBHR-26SEP061435TBTEX-TEXJFOSCUE56-1     2026-09-06 20:32:06.102198+00
Gmmsell0  KXMLBHR-26SEP061510STLCOL-STLIHERRERA48-1   2026-09-06 20:31:55.884959+00
Gmmsell0  KXMLBHR-26SEP061510STLCOL-STLNCHURCH27-1    2026-09-06 20:31:56.464347+00
Gmmsell0  KXMLBHR-26SEP061610ATHSEA-ATHBSERVEN10-1    2026-09-06 20:39:29.636949+00
Gmmsell0  KXMLBHR-26SEP061610ATHSEA-ATHDWALTON35-1    2026-09-06 20:32:09.314883+00
Gmmsell0  KXMLBHR-26SEP061610NYYSD-SDJCRONENWORTH9-2  2026-09-06 20:31:54.55254+00 
Gmmsell0  KXMLBSPREAD-26SEP061410AZHOU-AZ4            2026-09-06 20:39:10.379281+00
Gmmsell0  KXMLBSPREAD-26SEP061435TBTEX-TB4            2026-09-06 20:39:06.847906+00
Gmmsell0  KXMLBSPREAD-26SEP061435TBTEX-TB5            2026-09-06 20:31:47.661377+00
Gmmsell0  KXMLBSPREAD-26SEP061510STLCOL-COL4          2026-09-06 20:39:18.71681+00 
Gmmsell0  KXMLBSPREAD-26SEP061510STLCOL-COL5          2026-09-06 20:39:18.568561+00
Gmmsell0  KXMLBSPREAD-26SEP061610NYYSD-NYY3           2026-09-06 20:31:55.389126+00
Gmmsell0  KXMLBTOTAL-26SEP061410AZHOU-10              2026-09-06 20:31:41.990591+00
Gmmsell0  KXMLBTOTAL-26SEP061610ATHSEA-12             2026-09-06 20:38:57.685275+00
Gmmsell0  KXNCAAFSPREAD-26SEP06WSUWASH-WASH42         2026-09-06 20:31:22.684491+00
Gmmsell0  KXNCAAFTOTAL-26SEP06WSUWASH-71              2026-09-06 20:31:25.734046+00
Gmmsell1  KXMLBHR-26SEP061610ATHSEA-ATHDWALTON35-1    2026-09-06 20:32:09.324266+00

(21 rows)
