# ops request [READ]
# type=db  id=cc-papval-4
# code 4a6254f3afba3a587d5c7e51d5c4440e32943051 · started 2026-09-06T22:01:28Z
kind  k                       v                                         
----  ----------------------  ------------------------------------------
KILL  orders_after_standdown  0                                         
KILL  realized_pnl_usd        -1.9836                                   
KILL  exposure_total          2.7800                                    
KILL  still_open              3                                         
POS   Gmmsell0                KXMLBHR-26SEP061510STLCOL-STLNCHURCH27-1  
POS   Gmmsell0                KXMLBHR-26SEP061610ATHSEA-ATHDWALTON35-1  
POS   Gmmsell0                KXMLBSPREAD-26SEP061610NYYSD-NYY3         
POS   Gmmsell0                KXMLBHR-26SEP061610ATHSEA-ATHCCORTES26-1  
POS   Gmmsell0                KXMLBHR-26SEP061820MINCWS-MINWJENKINS11-1 
POS   Gmmsell1                KXMLBHR-26SEP061820MINCWS-MINWJENKINS11-1 
POS   Gmmsell0                KXMLBHIT-26SEP061610NYYSD-SDJMERRILL3-2   
POS   Gmmsell1                KXMLBHR-26SEP061610ATHSEA-ATHDWALTON35-1  
POS   Gmmsell0                KXMLBSPREAD-26SEP061510STLCOL-COL5        
POS   Gmmsell0                KXATPEXACTMATCH-26SEP06MEDTIA-TIA30       
POS   Gmmsell1                KXATPEXACTMATCH-26SEP06MEDTIA-TIA30       
POS   Gmmsell0                KXMLBSPREAD-26SEP061510STLCOL-COL4        
POS   Gmmsell0                KXMLBHR-26SEP061610ATHSEA-ATHBSERVEN10-1  
POS   Gmmsell0                KXNCAAFTOTAL-26SEP06WSUWASH-65            
POS   Gmmsell0                KXNCAAFTOTAL-26SEP06WSUWASH-68            
POS   Gmmsell0                KXNCAAFSPREAD-26SEP06WSUWASH-WASH39       
POS   Gmmsell0                KXNCAAFSPREAD-26SEP06SCSTFAMU-SCST40      
POS   Gmmsell0                KXNCAAFTOTAL-26SEP06SCSTFAMU-77           
POS   Gmmsell0                KXMLBSPREAD-26SEP061510STLCOL-COL2        
POS   Gmmsell0                KXMLBTEAMTOTAL-26SEP061610ATHSEA-ATH6     
POS   Gmmsell0                KXNASCARRACE-COOOS26-CHBR                 
POS   Gmmsell0                KXNASCARRACE-COOOS26-KYLA                 
POS   Gmmsell0                KXBTCD-26SEP0717-T81999.99                
POS   Gmmsell1                KXBTCD-26SEP0717-T81999.99                
POS   Gmmsell0                KXNCAAF1HTOTAL-26SEP06WISND-42            
POS   Gmmsell0                KXBRASILEIROTOTAL-26SEP06BOTPAL-5         
POS   Gmmsell1                KXBRASILEIROTOTAL-26SEP06BOTPAL-5         
POS   Gmmsell0                KXNCAAFSPREAD-26SEP06WSUWASH-WASH42       
POS   Gmmsell0                KXNCAAFTOTAL-26SEP06WSUWASH-71            
POS   Gmmsell0                KXMLBHR-26SEP061610NYYSD-SDJCRONENWORTH9-2
POS   Gmmsell0                KXMLBHR-26SEP061510STLCOL-STLIHERRERA48-1 
POS   Gmmsell0                KXMLBTOTAL-26SEP061610ATHSEA-12           

(36 rows)
