# ops request [READ]
# type=db  id=cc-papval-5
# code 11b6de4d088eb474f77e5288456b4286f8bd4e91 · started 2026-09-06T22:59:02Z
kind  k                       v                                                     
----  ----------------------  ------------------------------------------------------
KILL  orders_after_standdown  0                                                     
KILL  realized_pnl_usd        -1.9836                                               
KILL  still_open              3                                                     
POS   Gmmsell0                KXMLBHIT-26SEP061610NYYSD-SDJMERRILL3-2|2026-09-09    
POS   Gmmsell0                KXNCAAFTOTAL-26SEP06WSUWASH-65|2026-09-08             
POS   Gmmsell0                KXNCAAFTOTAL-26SEP06WSUWASH-68|2026-09-08             
POS   Gmmsell0                KXNCAAFSPREAD-26SEP06SCSTFAMU-SCST40|2026-09-08       
POS   Gmmsell0                KXNCAAF1HTOTAL-26SEP06WISND-42|2026-09-08             
POS   Gmmsell0                KXNCAAFTOTAL-26SEP06SCSTFAMU-77|2026-09-08            
POS   Gmmsell0                KXNCAAFSPREAD-26SEP06WSUWASH-WASH39|2026-09-08        
POS   Gmmsell0                KXMLBHR-26SEP061820MINCWS-MINWJENKINS11-1|2026-09-09  
POS   Gmmsell1                KXMLBHR-26SEP061820MINCWS-MINWJENKINS11-1|2026-09-09  
POS   Gmmsell0                KXNASCARRACE-COOOS26-CHBR|2026-09-14                  
POS   Gmmsell0                KXNASCARRACE-COOOS26-KYLA|2026-09-14                  
POS   Gmmsell0                KXBRASILEIROTOTAL-26SEP06BOTPAL-5|2026-09-09          
POS   Gmmsell1                KXBRASILEIROTOTAL-26SEP06BOTPAL-5|2026-09-09          
POS   Gmmsell0                KXNCAAFSPREAD-26SEP06WSUWASH-WASH31|2026-09-08        
POS   Gmmsell0                KXNFLSPREAD-26SEP13WASPHI-WAS15|2026-09-15            
POS   Gmmsell1                KXNFLSPREAD-26SEP13WASPHI-WAS15|2026-09-15            
POS   Gmmsell0                KXNCAAFTEAMTOTAL-26SEP06WISND-ND55|2026-09-08         
POS   Gmmsell0                KXNCAAFTEAMTOTAL-26SEP06WSUWASH-WASH28|2026-09-08     
POS   Gmmsell0                KXMLBHR-26SEP061820MINCWS-CWSSANTONACCI17-1|2026-09-09
POS   Gmmsell0                KXBTCD-26SEP0717-T81999.99|2026-09-07                 
POS   Gmmsell1                KXBTCD-26SEP0717-T81999.99|2026-09-07                 
POS   Gmmsell0                KXATPDOUBLES-26SEP06RAMSALARROLI-RAMSAL|2026-09-20    
POS   Gmmsell1                KXATPDOUBLES-26SEP06RAMSALARROLI-RAMSAL|2026-09-20    
POS   Gmmsell0                KXNCAAFSPREAD-26SEP06WSUWASH-WASH42|2026-09-08        
POS   Gmmsell0                KXNCAAFTOTAL-26SEP06WSUWASH-71|2026-09-08             

(28 rows)
