# ops request [READ]
# type=db  id=cc-postboot-1
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-08T07:26:11Z
what                 k                                        v                   
-------------------  ---------------------------------------  --------------------
A_deploys_open       mmsell-contestcap-live-2 [live]          Fmmsell10           
A_deploys_open       mmsell-contestcap-paper-1-e2-e3 [paper]  mmsell10            
A_deploys_open       mmsell-contestcap-twin-2 [paper_twin]    Fmmsell10_pt4       
B_twin_epoch_open    Fmmsell10_pt4 <- Fmmsell10               09-07 02:03         
D_funnel_since_boot  07:23                                    F=0 opened=2 ccap=56
E_realized_0908      Fmmsell10                                0.7872 n=12         
E_realized_0908      Fmmsell10_pt4                            0.8463 n=12         
F_open_pos           Fmmsell10                                28                  
F_open_pos           Fmmsell10_pt4                            28                  

(9 rows)
