# ops request [READ]
# type=db  id=cc-recon-1
# code 657e5021f0c7b6a78d2251e373e4926a2bd3d3a4 · started 2026-09-10T14:37:35Z
k                                  v                  
---------------------------------  -------------------
1_live_exchange_realized           -1.4143 settled=123
2_live_tickers_ordered             177                
3_live_tickers_filled              135                
4_live_tickers_unfilled            177 - 135          
5_papertrades_Fmmsell10_all        2.5647 n=194       
6_papertrades_F_on_filled_tickers  -1.9712 n=124      
7_papertrades_F_on_UNfilled        4.5359 n=70        
8_papertrades_twin                 3.5396 n=194       
9_ticker_overlap_with_E            3                  

(9 rows)
