# ops request [READ]
# type=db  id=cc-rmm-byseries1
# code 94424a42333b735184c9af54262b9540ff2d8a5b · started 2026-09-24T15:49:43Z
series             n    losses  wins  pnl  
-----------------  ---  ------  ----  -----
KXMLBSPREAD        140  8       132   1.03 
KXNFLTOTAL         65   4       61    0.14 
KXRAIN             33   0       33    2.08 
KXITFMATCH         31   1       30    1.01 
KXMLBGAME          25   2       23    -0.38
KXWTAMATCH         22   1       21    0.43 
KXNASDAQ100U       18   1       17    0.18 
KXINXU             17   2       15    -0.89
KXMLSGAME          12   2       10    -1.26
KXUFCMOV           12   1       11    -0.18
KXARGPREMDIVTOTAL  12   0       12    0.80 
KXLIGAMXTOTAL      9    0       9     0.57 
KXNPBGAME          9    0       9     0.57 
KXWNBASPREAD       8    0       8     0.53 
KXWNBAGAME         7    0       7     0.46 
KXTRUMPSAY         6    0       6     0.39 
KXATPEXACTMATCH    5    0       5     0.32 
KXMLSTOTAL         4    0       4     0.25 
KXFEDMENTION       3    0       3     0.21 
KXWTASETWINNER     2    0       2     0.12 

(20 rows)
