# ops request [READ]
# type=db  id=cc-rmm-byseries2
# code 94424a42333b735184c9af54262b9540ff2d8a5b · started 2026-09-24T15:57:21Z
series             n   losses  wins  pnl  
-----------------  --  ------  ----  -----
KXMLBSPREAD        77  5       72    -0.04
KXRAIN             33  0       33    2.08 
KXITFMATCH         31  1       30    1.01 
KXNFLTOTAL         29  4       25    -2.19
KXWTAMATCH         22  1       21    0.43 
KXMLBGAME          11  1       10    -0.31
KXARGPREMDIVTOTAL  10  0       10    0.66 
KXUFCMOV           9   0       9     0.61 
KXNPBGAME          9   0       9     0.57 
KXLIGAMXTOTAL      8   0       8     0.50 
KXMLSGAME          8   2       6     -1.50
KXINXU             7   1       6     -0.55
KXNASDAQ100U       7   1       6     -0.54
KXWNBAGAME         6   0       6     0.39 
KXTRUMPSAY         6   0       6     0.39 
KXWNBASPREAD       5   0       5     0.33 
KXFEDMENTION       3   0       3     0.21 
KXATPEXACTMATCH    3   0       3     0.19 
KXMLSTOTAL         3   0       3     0.19 
KXWTASETWINNER     2   0       2     0.12 

(20 rows)
