# ops request [READ]
# type=db  id=cc-rmm-clust34
# code ccf4f9d3c48810bb73a35a6475634b035ea0f3f3 · started 2026-09-17T10:45:57Z
contest                        legs                                       r1  r2  entered   
-----------------------------  -----------------------------------------  --  --  ----------
KXMLBSPREAD-26SEP121310COLDET  DET2:Rmmsell1 DET4:Rmmsell1 DET4:Rmmsell2  2   1   2026-09-12
KXMLBGAME-26SEP131605SEAATH    ATH:Rmmsell1                               1   0   2026-09-13
KXNFLTOTAL-26SEP13BUFHOU       66:Rmmsell1 66:Rmmsell2                    1   1   2026-09-13
KXNFLTOTAL-26SEP13CHICAR       68:Rmmsell1 68:Rmmsell2                    1   1   2026-09-13
KXNFLTOTAL-26SEP13GBMIN        61:Rmmsell1 61:Rmmsell2                    1   1   2026-09-13
KXNFLTOTAL-26SEP13NODET        60:Rmmsell1 60:Rmmsell2                    1   1   2026-09-13
KXITFMATCH-26SEP15COCWES       COC:Rmmsell1 COC:Rmmsell2                  1   1   2026-09-15
KXMLBSPREAD-26SEP141840CWSCLE  CWS4:Rmmsell1 CWS4:Rmmsell2                1   1   2026-09-15
KXMLBSPREAD-26SEP151910BALNYM  BAL2:Rmmsell1                              1   0   2026-09-16
KXMLBSPREAD-26SEP152040SDCOL   COL3:Rmmsell1 COL3:Rmmsell2                1   1   2026-09-16
KXMLBSPREAD-26SEP162005BOSTEX  TEX4:Rmmsell1 TEX4:Rmmsell2                1   1   2026-09-17

(11 rows)
