# ops request [READ]
# type=db  id=cc-rmm-clust42
# code d1736c7ced59b4b7843b1b9f61f8aad0304420de · started 2026-09-20T03:11:35Z
contest                        legs                                       r1  r2  entered   
-----------------------------  -----------------------------------------  --  --  ----------
KXMLBSPREAD-26SEP121310COLDET  DET2:Rmmsell1 DET4:Rmmsell1 DET4:Rmmsell2  2   1   2026-09-12
KXMLBGAME-26SEP131605SEAATH    ATH:Rmmsell1                               1   0   2026-09-13
KXNFLTOTAL-26SEP13BUFHOU       66:Rmmsell1 66:Rmmsell2                    1   1   2026-09-13
KXNFLTOTAL-26SEP13CHICAR       68:Rmmsell1 68:Rmmsell2                    1   1   2026-09-13
KXNFLTOTAL-26SEP13GBMIN        61:Rmmsell1 61:Rmmsell2                    1   1   2026-09-13
KXNFLTOTAL-26SEP13NODET        60:Rmmsell1 60:Rmmsell2                    1   1   2026-09-13
KXITFMATCH-26SEP15COCWES       COC:Rmmsell1 COC:Rmmsell2                  1   1   2026-09-15
KXMLBSPREAD-26SEP141840CWSCLE  CWS4:Rmmsell1 CWS4:Rmmsell2                1   1   2026-09-15
KXMLBSPREAD-26SEP151910BALNYM  BAL2:Rmmsell1                              1   0   2026-09-16
KXMLBSPREAD-26SEP152040SDCOL   COL3:Rmmsell1 COL3:Rmmsell2                1   1   2026-09-16
KXMLBSPREAD-26SEP162005BOSTEX  TEX4:Rmmsell1 TEX4:Rmmsell2                1   1   2026-09-17
KXMLBSPREAD-26SEP181840KCPIT   PIT3:Rmmsell1 PIT3:Rmmsell2                1   1   2026-09-18
KXMLBGAME-26SEP181940DETCWS    DET:Rmmsell1 DET:Rmmsell2                  1   1   2026-09-19
KXMLBSPREAD-26SEP181940DETCWS  DET2:Rmmsell1                              1   0   2026-09-19
KXMLSGAME-26SEP19HOUCIN        TIE:Rmmsell1 TIE:Rmmsell2                  1   1   2026-09-20
KXMLSGAME-26SEP19SKCPHI        PHI:Rmmsell1 PHI:Rmmsell2                  1   1   2026-09-20
KXUFCMOV-26SEP19TUIDES         DESDEC:Rmmsell1                            1   0   2026-09-20

(17 rows)
