# ops request [READ]
# type=db  id=cc-rmm-stall2
# code e81faf472b6f336ffe56cda87d32c6deeda4a40f · started 2026-09-24T07:09:13Z
at           level    component            message                                              
-----------  -------  -------------------  -----------------------------------------------------
09-24 07:04  INFO     mmsell_quote_parity  mmsell inline-quote parity                           
09-24 07:04  INFO     mmsell_scan          mmsell scan funnel                                   
09-23 08:35  INFO     mmsell_quote_parity  mmsell inline-quote parity                           
09-23 08:35  INFO     mmsell_scan          mmsell scan funnel                                   
09-23 08:04  INFO     mmsell_quote_parity  mmsell inline-quote parity                           
09-23 08:04  INFO     mmsell_scan          mmsell scan funnel                                   
09-23 08:02  WARNING  twin                 twin Fmmsell10_pt4 params drifted from epoch snapshot

(7 rows)
