# ops request [READ]
# type=db  id=cc-rmm-tape2
# code ce1215a40dc8d607316bd35d83d39e6b5f52e6b5 · started 2026-09-11T10:42:43Z
market_ticker               books              entry_c  taken                           
--------------------------  -----------------  -------  --------------------------------
KXFEDMENTION-26SEP-EGG      Rmmsell1+Rmmsell2  7        2026-09-11 07:49:10.267259+00:00
KXFEDMENTION-26SEP-NATI     Rmmsell1+Rmmsell2  7        2026-09-11 07:49:10.476694+00:00
KXFEDMENTION-26SEP-TRUM     Rmmsell1+Rmmsell2  7        2026-09-11 07:49:09.021069+00:00
KXNFLTOTAL-26SEP13MIALV-62  Rmmsell1+Rmmsell2  6        2026-09-11 09:21:50.684630+00:00
KXRAIN-26SEP11-DEN          Rmmsell1+Rmmsell2  6        2026-09-11 09:21:51.140674+00:00
KXRAIN-26SEP11-OKC          Rmmsell1+Rmmsell2  7        2026-09-11 07:49:35.801109+00:00
KXRAIN-26SEP11-PHX          Rmmsell1+Rmmsell2  6        2026-09-11 07:49:35.169563+00:00
KXTRUMPSAY-26SEP14-ANTI     Rmmsell1+Rmmsell2  7        2026-09-11 09:52:40.318825+00:00
KXTRUMPSAY-26SEP14-MARI     Rmmsell1+Rmmsell2  6        2026-09-11 07:48:41.025210+00:00
KXTRUMPSAY-26SEP14-URAN     Rmmsell1+Rmmsell2  7        2026-09-11 07:48:41.491436+00:00

(10 rows)
