# ops request [READ]
# type=db  id=cc-silent-1
# code 11b6de4d088eb474f77e5288456b4286f8bd4e91 · started 2026-09-07T00:23:18Z
what                  k                              v                                                          
--------------------  -----------------------------  -----------------------------------------------------------
A_live_orders_all     canceled                       21                                                         
A_live_orders_all     filled                         17                                                         
B_orders_since_rearm  -                              0                                                          
C_open_paper_pos      Emmsell10                      33                                                         
C_open_paper_pos      Emmsell10_pt4                  28                                                         
C_open_paper_pos      Gmmsell1                       43                                                         
C_open_paper_pos      mmsell10                       117                                                        
D_funnel              2026-09-06 23:42:53.856894+00  E=3 m10=9 G1=3 opened=80 ccap=29 tier=0 paused=0 inband=612
D_funnel              2026-09-06 23:55:25.641214+00  E=0 m10=5 G1=0 opened=38 ccap=50 tier=0 paused=0 inband=611

(9 rows)
