# ops request [READ]
# type=db  id=cc-straddle-1
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-10T08:55:53Z
what                     k                                             v                                                    
-----------------------  --------------------------------------------  -----------------------------------------------------
A_straddling_uncapped    26SEP09 legs=6                                09-09 03:59 | 09-10 06:00 | 09-10 07:00 | 09-10 08:00
A_straddling_uncapped    26SEP09LFCATM legs=4                          09-11 19:00 | 09-12 01:00                            
A_straddling_uncapped    26SEP10 legs=4                                09-10 03:59 | 09-11 07:00 | 09-11 08:00              
B_live_on_that_contest   26SEP09 KXAAAGASD-26SEP09-4.1850              filled 09-08 16:41                                   
B_live_on_that_contest   26SEP09 KXRAIN-26SEP09-LAX                    filled 09-09 10:33                                   
B_live_on_that_contest   26SEP10 KXAAAGASD-26SEP10-4.3150              filled 09-09 19:29                                   
B_live_on_that_contest   26SEP10 KXRAIN-26SEP10-SEA                    resting 09-10 06:57                                  
C_paper_on_that_contest  26SEP09 KXAAAGASD-26SEP09-4.1850              Fmmsell10 09-08 16:41                                
C_paper_on_that_contest  26SEP09 KXAAAGASD-26SEP09-4.1850              Fmmsell10_pt4 09-08 16:41                            
C_paper_on_that_contest  26SEP09 KXRAIN-26SEP09-LAX                    Fmmsell10_pt4 09-09 10:33                            
C_paper_on_that_contest  26SEP09 KXRAIN-26SEP09-LAX                    Fmmsell10 09-09 10:33                                
C_paper_on_that_contest  26SEP09LFCATM KXUCLSPREAD-26SEP09LFCATM-ATM3  Fmmsell10 09-09 19:30                                
C_paper_on_that_contest  26SEP09LFCATM KXUCLSPREAD-26SEP09LFCATM-ATM3  Fmmsell10_pt4 09-09 19:30                            
C_paper_on_that_contest  26SEP10 KXAAAGASD-26SEP10-4.3150              Fmmsell10 09-09 19:29                                
C_paper_on_that_contest  26SEP10 KXAAAGASD-26SEP10-4.3150              Fmmsell10_pt4 09-09 19:29                            
C_paper_on_that_contest  26SEP10 KXRAIN-26SEP10-SEA                    Fmmsell10 09-10 06:57                                
C_paper_on_that_contest  26SEP10 KXRAIN-26SEP10-SEA                    Fmmsell10_pt4 09-10 06:57                            

(17 rows)
