# ops request [READ]
# type=db  id=cc-straddle-check-2
# code cbbf710825f6de72e365f3977c4a86c8a2684fc3 · started 2026-09-05T14:40:33Z
contest            markets  series_n  close_times  utc_dates  mn                         mx                       
-----------------  -------  --------  -----------  ---------  -------------------------  -------------------------
26AUG161920SEAHOU  261      17        2            2          2026-08-18 23:20:00+00:00  2026-08-19 23:20:00+00:00
26SEP03ZVEHAL      22       5         2            2          2026-09-17 15:00:00+00:00  2026-09-18 01:40:00+00:00
26AUG13SHENAK      18       6         2            2          2026-08-27 15:00:00+00:00  2026-08-28 00:00:00+00:00
26AUG20TIRFIL      13       4         2            2          2026-09-03 19:00:00+00:00  2026-09-04 00:30:00+00:00
26AUG12BURSTR      13       4         2            2          2026-08-26 14:00:00+00:00  2026-08-27 14:00:00+00:00
26AUG12SHAMAN      13       4         2            2          2026-08-26 14:00:00+00:00  2026-08-27 14:00:00+00:00
26AUG12NORPRI      9        3         2            2          2026-08-26 14:00:00+00:00  2026-08-27 14:00:00+00:00
26AUG23RUZBAR      9        3         2            2          2026-09-06 16:00:00+00:00  2026-09-07 00:40:00+00:00
26AUG131930PHIMIN  248      13        1            1          2026-08-16 23:30:00+00:00  2026-08-16 23:30:00+00:00
26AUG231910ATLMIL  242      12        1            1          2026-08-26 23:10:00+00:00  2026-08-26 23:10:00+00:00
26AUG132210MILLAD  231      14        1            1          2026-08-17 02:10:00+00:00  2026-08-17 02:10:00+00:00
26AUG172040LADCOL  215      14        1            1          2026-08-21 00:40:00+00:00  2026-08-21 00:40:00+00:00
26SEP012210STLLAD  206      11        1            1          2026-09-05 02:10:00+00:00  2026-09-05 02:10:00+00:00
26AUG131410CINCWS  204      14        2            1          2026-08-16 17:10:00+00:00  2026-08-16 18:10:00+00:00
26AUG141420STLCHC  199      15        1            1          2026-08-17 18:20:00+00:00  2026-08-17 18:20:00+00:00
26AUG131335SEANYY  197      14        1            1          2026-08-16 17:35:00+00:00  2026-08-16 17:35:00+00:00
26AUG131605CHCWSH  188      13        1            1          2026-08-16 20:05:00+00:00  2026-08-16 20:05:00+00:00
26SEP021940MILCHC  183      11        1            1          2026-09-05 23:40:00+00:00  2026-09-05 23:40:00+00:00
26AUG192040LADCOL  176      12        1            1          2026-08-23 00:40:00+00:00  2026-08-23 00:40:00+00:00
26AUG312140PHIAZ   175      11        1            1          2026-09-04 01:40:00+00:00  2026-09-04 01:40:00+00:00

(20 rows)
