# ops request [READ]
# type=db  id=cc-straddle-regimes-4
# code cbbf710825f6de72e365f3977c4a86c8a2684fc3 · started 2026-09-05T14:42:06Z
series               straddling_contests  approx_markets       
-------------------  -------------------  ---------------------
KXRAIN               26                   3154.0000000000000000
KXAAAGASD            22                   2690.0000000000000000
KXDIESELD            9                    1536.0000000000000000
KXLEAGUESCUPGAME     8                    256.0000000000000000 
KXLEAGUESCUPBTTS     8                    256.0000000000000000 
KXLEAGUESCUPSPREAD   8                    256.0000000000000000 
KXLEAGUESCUPTOTAL    8                    256.0000000000000000 
KXLEAGUESCUP1HTOTAL  7                    239.0000000000000000 
KXATPMATCH           6                    88.0000000000000000  
KXTRUEV              6                    1266.0000000000000000
KXATPSETWINNER       6                    88.0000000000000000  
KXYTDAILYTOPVIDEOG   6                    1266.0000000000000000
KXAAAGASW            5                    1106.0000000000000000
KXMLBF5SPREAD        5                    1267.0000000000000000
KXLEAGUESCUP1H       5                    188.0000000000000000 
KXMLBF5              5                    1267.0000000000000000
KXMLBF5TOTAL         5                    1267.0000000000000000
KXLOLGAME            5                    30.0000000000000000  
KXATPGSPREAD         5                    75.0000000000000000  
KXATPEXACTMATCH      5                    79.0000000000000000  

(20 rows)
