# ops request [READ]
# type=db  id=cc-twin1
# code 11b6de4d088eb474f77e5288456b4286f8bd4e91 · started 2026-09-07T01:10:14Z
what   k                           v                                                                                                                         
-----  --------------------------  --------------------------------------------------------------------------------------------------------------------------
twins  Cmmsell10_pt3 <- Cmmsell10  start=08-28 14:46 end=08-31 14:10 :: Cmmsell10 removed from LIVE_STRATEGIES — no longer trading                           
twins  Dmmsell10_pt4 <- Dmmsell10  start=09-02 11:45 end=09-05 11:37 :: Dmmsell10 removed from LIVE_STRATEGIES — no longer trading                           
twins  Emmsell10_pt4 <- Emmsell10  start=09-06 18:18 end=09-06 19:25 :: Emmsell10 removed from LIVE_STRATEGIES — no longer trading                           
twins  Lmmsell10_pt3 <- Lmmsell10  start=08-15 12:56 end=08-19 23:41 :: Lmmsell10 removed from LIVE_STRATEGIES — no longer trading                           
twins  Lmmsell8_pt3 <- Lmmsell8    start=08-15 12:56 end=08-19 23:41 :: Lmmsell8 removed from LIVE_STRATEGIES — no longer trading                            
twins  mmsell10a_pt2 <- mmsell10a  start=08-06 04:27 end=08-12 00:08 :: superseded by mmsell10a_pt3 — mmsell10a is still live, but this twin tag was replaced
twins  mmsell10a_pt3 <- mmsell10a  start=08-12 00:12 end=08-14 14:55 :: mmsell10a removed from LIVE_STRATEGIES — no longer trading                           
twins  mmsell10a_pt <- mmsell10a   start=08-04 15:59 end=08-10 19:47 :: superseded by mmsell10a_pt2 — mmsell10a is still live, but this twin tag was replaced
twins  mmsell10b_pt2 <- mmsell10b  start=08-06 04:27 end=08-12 00:08 :: superseded by mmsell10b_pt3 — mmsell10b is still live, but this twin tag was replaced
twins  mmsell10b_pt3 <- mmsell10b  start=08-12 00:12 end=08-14 14:55 :: mmsell10b removed from LIVE_STRATEGIES — no longer trading                           
twins  mmsell10b_pt <- mmsell10b   start=08-04 15:59 end=08-10 19:47 :: superseded by mmsell10b_pt2 — mmsell10b is still live, but this twin tag was replaced
twins  mmsell10_pt3 <- mmsell10    start=08-15 04:19 end=08-15 12:54 :: mmsell10 removed from LIVE_STRATEGIES — no longer trading                            
twins  mmsell10_pt <- mmsell10     start=07-26 21:09 end=08-04 16:23 :: mmsell10 removed from LIVE_STRATEGIES — no longer trading                            
twins  mmsell8_pt3 <- mmsell8      start=08-15 04:19 end=08-15 12:54 :: mmsell8 removed from LIVE_STRATEGIES — no longer trading                             
twins  theta4_pt2 <- theta4        start=08-06 04:27 end=08-12 00:08 :: superseded by theta4_pt3 — theta4 is still live, but this twin tag was replaced      
twins  theta4_pt3 <- theta4        start=08-12 00:15 end=08-19 23:41 :: theta4 removed from LIVE_STRATEGIES — no longer trading                              
twins  theta4_pt <- theta4         start=07-30 18:03 end=08-10 19:47 :: superseded by theta4_pt2 — theta4 is still live, but this twin tag was replaced      

(17 rows)
