# ops request [READ]
# type=db  id=cc-when1
# code 11b6de4d088eb474f77e5288456b4286f8bd4e91 · started 2026-09-07T00:31:06Z
what                    k                                   v             
----------------------  ----------------------------------  --------------
live_order_since_rearm  KXBTCD-26SEP1117-T85999.99 resting  09-07 00:26:29
open_pos_by_hour        09-06 18:00                         20            
open_pos_by_hour        09-06 19:00                         4             
open_pos_by_hour        09-06 20:00                         1             
open_pos_by_hour        09-06 21:00                         1             
open_pos_by_hour        09-06 22:00                         3             
open_pos_by_hour        09-06 23:00                         4             

(7 rows)
