# ops request [READ]
# type=db  id=contest-shape-1
# code 7becc96c3688fb963ba650c731c46c6294e6351f · started 2026-09-05T12:15:22Z
contest            markets  series_span  realized_usd
-----------------  -------  -----------  ------------
26SEP022138NYYLAA  6        5            -1.48       
26SEP022210STLLAD  5        3            -2.60       
26SEP021840NYMTB   5        2            -1.58       
26SEP0414          4        1            0.00        
26SEP021305ATLWSH  3        2            -0.77       
26SEP03COLOGT      3        1            0.23        
26SEP0217          3        2            0.26        
26SEP021510BALCOL  3        3            0.26        
26SEP032140ATHSEA  2        1            -0.87       
26SEP021940DETMIN  2        2            -0.83       
26AUG              2        1            0.00        
26SEP07            2        1            0.00        
COOOS26            2        1            0.00        
ONS                2        1            0.00        
26SEP04            2        2            0.06        
26SEP032005TBTEX   2        2            0.14        
26SEP02            2        1            0.14        
26SEP022010CWSHOU  2        1            0.16        
26SEP021840SFPIT   2        2            0.17        
26SEP031915BOSBAL  2        2            0.17        
26SEP032210STLLAD  2        2            0.17        
26SEP03ARPBMIZZ    2        2            0.18        
26SEP03ALBYBUFF    2        1            0.19        

(23 rows)
