# ops request [READ]
# type=xos  id=ct-plat-anchor-1
# code cbbf710825f6de72e365f3977c4a86c8a2684fc3 · started 2026-09-05T14:22:48Z
component          active revision                        activated_at      revisions
-----------------  -------------------------------------  ----------------  ---------
DATA_PROVENANCE    live_vs_backfill_2026_08               -                 1        
EXECUTION_ENGINE   live_executor_2026_08                  -                 1        
EXPERIMENT_ENGINE  foundation_pr1                         -                 1        
FEE_MODEL          maker_rate_2026_08_11                  2026-08-11 15:00  1        
FILL_MODEL         assumed_fill_plus_mmsell3_calibration  -                 1        
KALSHI_API_SCHEMA  advanced_tier_2026_08_12               -                 1        
MARKET_TAXONOMY    settlement_repair_2026_08_24           2026-08-24 14:21  2        
METRICS_ENGINE     pnl_scripts_2026_08                    -                 1        
RISK_ENGINE        caps_2026_08                           -                 1        
SETTLEMENT_ENGINE  hold_to_settlement_2026_08             -                 1        

active snapshot: id=2 fingerprint=4f9adf15daa64035…
