# ops request [READ]
# type=xos  id=dash-cand-1
# code cedeb1be81193e83a325623b480d6737a5147797 · started 2026-09-03T15:59:42Z
detector                    sev   pri  would-classify  recommended owner       scope                                            anomaly                                             
--------------------------  ----  ---  --------------  ----------------------  -----------------------------------------------  ----------------------------------------------------
integrity.unresolved_event  HIGH  P1   PLATFORM        PLATFORM_CHANGE_REVIEW  mmsell-price-ceiling                             unresolved integrity event [EXPERIMENT_CONFIG_DRIFT]
integrity.unresolved_event  HIGH  P1   PLATFORM        PLATFORM_CHANGE_REVIEW  mmsell-scheduled-settle-live                     unresolved integrity event [EXPERIMENT_CONFIG_DRIFT]
integrity.unresolved_event  HIGH  P1   PLATFORM        PLATFORM_CHANGE_REVIEW  theta4-fat-tail                                  unresolved integrity event [EXPERIMENT_CONFIG_DRIFT]
gate.blocked                HIGH  P1   PLATFORM        PLATFORM_CHANGE_REVIEW  mmsell-anchor-vol-entry · paper_keep             paper_keep is BLOCKED_PLATFORM                      
gate.blocked                HIGH  P1   INTEGRITY       LIVE_OPS                mmsell-price-ceiling · live_canary_keep          live_canary_keep is BLOCKED_INTEGRITY               
gate.blocked                HIGH  P1   INTEGRITY       LIVE_OPS                mmsell-price-ceiling · paper_to_live_canary      paper_to_live_canary is BLOCKED_INTEGRITY           
gate.blocked                HIGH  P1   INTEGRITY       LIVE_OPS                mmsell-scheduled-settle-live · live_canary_keep  live_canary_keep is BLOCKED_INTEGRITY               
gate.blocked                HIGH  P1   INTEGRITY       LIVE_OPS                theta4-fat-tail · live_canary_keep               live_canary_keep is BLOCKED_INTEGRITY               

These are RECOMMENDATIONS. Opening one is a write, owned by the recommended role.
