# ops request: type='db'
strategy       rows  last_row                        
-------------  ----  --------------------------------
Lmmsell10      2006  2026-08-24 13:56:39.341538+00:00
mmsellA5       2403  2026-08-24 13:56:39.331972+00:00
mmsellA4       2676  2026-08-24 13:56:39.315429+00:00
mmsell10       3867  2026-08-24 13:56:39.298455+00:00
mmsell6        5145  2026-08-24 13:56:39.286430+00:00
mmsell5        3359  2026-08-24 13:56:30.456417+00:00
mmsell         9682  2026-08-24 13:56:30.441767+00:00
Tmmsell6       1896  2026-08-24 13:44:11.060010+00:00
Tmmsell5       428   2026-08-24 13:44:11.049661+00:00
Tmmsell1       319   2026-08-24 13:44:11.039912+00:00
mmsell7        848   2026-08-24 13:44:10.779847+00:00
mmsell9        1650  2026-08-24 13:19:38.249540+00:00
Lmmsell8       69    2026-08-24 08:33:42.724582+00:00
mmsell8        218   2026-08-24 08:33:42.713720+00:00
Tmmsell2       37    2026-08-22 12:15:36.253357+00:00
Lmmsell10_pt3  167   2026-08-19 22:57:25.701629+00:00
Lmmsell8_pt3   36    2026-08-19 21:24:41.289475+00:00
mmsell8_pt3    7     2026-08-15 12:48:08.304851+00:00
mmsell10_pt3   30    2026-08-15 08:01:04.270015+00:00
mmsell10b      974   2026-08-14 14:54:03.354396+00:00
mmsell10a      1004  2026-08-14 14:53:50.637714+00:00
mmsell10a_pt3  234   2026-08-14 14:53:28.005488+00:00
mmsell10b_pt3  225   2026-08-14 14:53:10.391574+00:00
mmsell10e      283   2026-08-14 02:36:44.744748+00:00
mmsell10d      430   2026-08-14 02:36:44.730605+00:00
Tmmsell4       845   2026-08-12 18:14:14.104184+00:00
Tmmsell3       467   2026-08-12 18:13:52.479644+00:00
Wmmsell1       1474  2026-08-12 03:25:22.064974+00:00
mmsell11       1712  2026-08-12 03:25:20.486581+00:00
mmsell4        1549  2026-08-12 03:25:20.453854+00:00
mmsell3        2554  2026-08-12 03:25:20.440128+00:00
Wmmsell2       628   2026-08-12 03:24:37.361871+00:00
mmsellA3       917   2026-08-12 03:24:15.178105+00:00
mmsellA2       933   2026-08-12 03:24:15.161731+00:00
mmsellA1       971   2026-08-12 03:24:15.146649+00:00
mmsell2        3445  2026-08-12 03:23:57.370030+00:00
Wmmsell6       913   2026-08-12 03:23:28.312868+00:00
mmsell1        4229  2026-08-12 03:23:14.152641+00:00
Wmmsell7       210   2026-08-12 02:52:17.739364+00:00
Wmmsell8       628   2026-08-12 02:50:35.438558+00:00
Wmmsell3       597   2026-08-12 02:50:35.422097+00:00
mmsell10a_pt2  267   2026-08-11 23:55:45.774969+00:00
mmsell10b_pt2  243   2026-08-11 23:54:45.861380+00:00
Wmmsell4       143   2026-08-11 23:22:39.561970+00:00
Wmmsell5       25    2026-08-11 03:02:56.524028+00:00
mmsell10b_pt   4     2026-08-05 11:16:58.115668+00:00
mmsell10a_pt   1     2026-08-04 20:31:48.515042+00:00
mmsell10_pt    108   2026-08-03 14:43:20.755984+00:00

(48 rows)
